route,family,allocation,ratio,metric,paired_seed_n,seeds,mean_high_effect,mean_low_effect,mean_gap,gap_sample_std,gap_min,gap_max,direction
direct,double_near_zero,global,0.0,accuracy,3,1234;1337;2027,0.0,0.0,0.0,0.0,0.0,0.0,positive_means_high_pruning_is_more_harmful
direct,double_near_zero,global,0.0,ece,3,1234;1337;2027,0.0,0.0,0.0,0.0,0.0,0.0,positive_means_high_pruning_is_more_harmful
direct,double_near_zero,global,0.0,nll,3,1234;1337;2027,0.0,0.0,0.0,0.0,0.0,0.0,positive_means_high_pruning_is_more_harmful
direct,double_near_zero,global,0.001,accuracy,3,1234;1337;2027,0.3237767584097859,0.0,0.3237767584097859,0.006520918237473971,0.31651376146788995,0.3291284403669725,positive_means_high_pruning_is_more_harmful
direct,double_near_zero,global,0.001,ece,3,1234;1337;2027,-0.10372753118756634,0.00015191515360131932,-0.10387944634116765,0.008097653554219451,-0.11246493929706203,-0.0963790564740048,positive_means_high_pruning_is_more_harmful
direct,double_near_zero,global,0.001,nll,3,1234;1337;2027,0.1493557983901158,0.00010839715281030227,0.1492474012373055,0.016703816227892417,0.13373614533231892,0.1669311801638078,positive_means_high_pruning_is_more_harmful
direct,double_near_zero,global,0.005,accuracy,3,1234;1337;2027,0.3237767584097859,0.0,0.3237767584097859,0.006520918237473971,0.31651376146788995,0.3291284403669725,positive_means_high_pruning_is_more_harmful
direct,double_near_zero,global,0.005,ece,3,1234;1337;2027,-0.10372753118756634,-2.2643798475903885e-06,-0.10372526680771875,0.007918142286341733,-0.11208753143823236,-0.09634235764925458,positive_means_high_pruning_is_more_harmful
direct,double_near_zero,global,0.005,nll,3,1234;1337;2027,0.1493557983901158,9.991998701649092e-05,0.1492558784030993,0.016778947220813027,0.1336275604339915,0.16698718556296932,positive_means_high_pruning_is_more_harmful
direct,double_near_zero,global,0.01,accuracy,3,1234;1337;2027,0.3237767584097859,0.0,0.3237767584097859,0.006520918237473971,0.31651376146788995,0.3291284403669725,positive_means_high_pruning_is_more_harmful
direct,double_near_zero,global,0.01,ece,3,1234;1337;2027,-0.10372753118756634,1.5251205555233405e-05,-0.10374278239312157,0.007887489167213336,-0.11209304056112779,-0.09641846662703024,positive_means_high_pruning_is_more_harmful
direct,double_near_zero,global,0.01,nll,3,1234;1337;2027,0.1493557983901158,0.00013030632555666166,0.14922549206455915,0.01680498378092192,0.13356698789727794,0.1669802625381619,positive_means_high_pruning_is_more_harmful
direct,double_near_zero,global,0.02,accuracy,3,1234;1337;2027,0.3237767584097859,0.0,0.3237767584097859,0.006520918237473971,0.31651376146788995,0.3291284403669725,positive_means_high_pruning_is_more_harmful
direct,double_near_zero,global,0.02,ece,3,1234;1337;2027,-0.10372753118756634,2.5449347494377328e-05,-0.10375298053506071,0.007861756492180051,-0.11207811103404941,-0.09645571166744848,positive_means_high_pruning_is_more_harmful
