comparison,u_family,double_family,route,allocation,ratio,metric,u_mean_gap,double_mean_gap,required_u_gap,criterion_applicable,criterion_passed,criterion
original_gate5_semantics,u_positive,double_original,direct,layer_balanced,0.01,accuracy,0.32301223241590216,0.31880733944954126,0.25504587155963304,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,layer_balanced,0.01,nll,0.152866884701478,0.1562358672283476,0.12498869378267807,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,layer_balanced,0.01,ece,-0.10479973989794615,-0.10817582191535201,-0.08654065753228161,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,layer_balanced,0.02,accuracy,0.3249235474006116,0.31957186544342503,0.25565749235474006,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,layer_balanced,0.02,nll,0.1561818881364773,0.15446750837910794,0.12357400670328636,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,layer_balanced,0.02,ece,-0.1019203820659727,-0.1097588077136421,-0.08780704617091369,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,layer_balanced,0.05,accuracy,0.3237767584097859,0.32224770642201833,0.25779816513761467,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,layer_balanced,0.05,nll,0.1641397344956704,0.16285479449259763,0.1302838355940781,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,layer_balanced,0.05,ece,-0.10255754541739313,-0.10589039261237647,-0.08471231408990118,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,layer_balanced,0.1,accuracy,0.3211009174311927,0.32683486238532117,0.2614678899082569,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,layer_balanced,0.1,nll,0.1722596573674715,0.17397915581041887,0.1391833246483351,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,layer_balanced,0.1,ece,-0.10000461405902716,-0.09745961445239597,-0.07796769156191678,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,layer_balanced,0.2,accuracy,0.31422018348623854,0.32951070336391436,0.2636085626911315,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,layer_balanced,0.2,nll,0.17525634716410157,0.19682014258492977,0.15745611406794383,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,layer_balanced,0.2,ece,-0.10027478365569724,-0.09398927983219951,-0.07519142386575961,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,layer_balanced,0.3,accuracy,0.31077981651376146,0.32492354740061163,0.25993883792048933,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,layer_balanced,0.3,nll,0.15806937466065088,0.21632675423261225,0.1730614033860898,True,False,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,layer_balanced,0.3,ece,-0.10017573263174495,-0.0802542941214247,-0.06420343529713976,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.0,accuracy,0.0,0.0,0.0,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.0,nll,0.0,0.0,0.0,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.0,ece,0.0,0.0,0.0,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.001,accuracy,0.33562691131498473,0.33524464831804285,0.2681957186544343,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.001,nll,0.17150999218316618,0.16789019376677475,0.1343121550134198,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.001,ece,-0.09722702278701051,-0.09611229481532163,-0.07688983585225731,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.005,accuracy,0.33562691131498473,0.33218654434250766,0.26574923547400614,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.005,nll,0.17150999218316618,0.17262324312593594,0.13809859450074877,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.005,ece,-0.09722702278701051,-0.09573912877016079,-0.07659130301612864,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.01,accuracy,0.33562691131498473,0.3291284403669725,0.26330275229357797,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.01,nll,0.17150999218316618,0.17531552322960775,0.1402524185836862,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.01,ece,-0.09722702278701051,-0.09769007925564165,-0.07815206340451332,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.02,accuracy,0.33562691131498473,0.3318042813455658,0.26544342507645263,True,True,u_gap>=0 and u_gap>=0.8*double_gap
