state_id,phase,rule,scope,group_count,absolute_bias,relative_l1_bias,mean_estimate_mse,spearman,topk_overlap,dominance_fraction,nonzero_reference_fraction,nonzero_spearman,relative_error_p50,relative_error_p90,relative_error_p95,relative_error_p99
step-000000,early,left,parameter,14067712,2.3824441953100604e-08,0.3497955752188227,1.7320211799849172e-14,0.7008168086810315,0.8640078136329128,4.8624608318962214e-05,0.542682633821335,0.710489556047611,0.6551769556219703,3.6898554359580547,7.196279111019425,35.03206187811231
step-000000,early,left,layer,9,0.007793365110531215,0.3079592795926444,9.759276807222325e-05,1.0,1.0,0.1979650345714411,1.0,1.0,0.3262330598992175,0.41513878509904484,0.4324469357961354,0.4462934563538079
step-000000,early,left,module,9,0.007793365110531216,0.30795927959264446,0.00022737249036628755,0.9833333333333333,1.0,0.5501939074809649,1.0,0.9833333333333333,0.314294375841117,0.36924797452384844,0.4095015305085372,0.44170437529628825
step-000000,early,trapezoid,parameter,14067712,5.556531297999936e-09,0.08158218628715143,8.82810910215786e-16,0.9679770741368264,0.9732593483521139,5.0936496153400816e-05,0.542682633821335,0.9829097916082195,0.09781169442017396,0.5796469778436746,1.1251159424425987,5.32947944468785
step-000000,early,trapezoid,layer,9,0.001505770979750155,0.059501401458626126,3.2620483139367537e-06,1.0,1.0,0.19076172779972292,1.0,1.0,0.05807577537546198,0.06550520801698013,0.06670307082253435,0.06766136106697772
step-000000,early,trapezoid,module,9,0.001505770979750156,0.059501401458626174,7.360692350299331e-06,1.0,1.0,0.5322325295470051,1.0,1.0,0.059854740754298655,0.06702271773825734,0.0672914881560992,0.06750650449037268
step-000000,early,simpson,parameter,14067712,2.5610033103401655e-10,0.0037601200810546626,1.993341968600381e-18,0.999239358475488,0.9984873170634616,5.1636988339267115e-05,0.542682633821335,0.9998273132393678,0.00327253420333113,0.01809678549876374,0.03560020322406731,0.17392852340391968
step-000000,early,simpson,layer,9,0.00010909238491515229,0.0043108479829997055,2.043139598540077e-08,1.0,1.0,0.19173600141781874,1.0,1.0,0.004172600298887241,0.00538722956252142,0.005791058087372756,0.006114120907253825
step-000000,early,simpson,module,9,0.00010909238491514458,0.0043108479829994,4.470997715576228e-08,1.0,1.0,0.5331039920279047,1.0,1.0,0.004215762189572228,0.004878509626713429,0.004881123035567879,0.004883213762651439
step-000000,early,gauss_legendre,parameter,14067712,0.0,0.0,0.0,1.0,1.0,5.155975379930883e-05,0.542682633821335,0.9999999999999998,0.0,0.0,0.0,0.0
step-000000,early,gauss_legendre,layer,9,0.0,0.0,0.0,1.0,1.0,0.19188836634409945,1.0,1.0,0.0,0.0,0.0,0.0
step-000000,early,gauss_legendre,module,9,0.0,0.0,0.0,1.0,1.0,0.5334073978788461,1.0,1.0,0.0,0.0,0.0,0.0
step-000001,early,left,parameter,14067712,8.911709447814387e-09,0.25022450123173245,2.7957405143192263e-15,0.9169663577680024,0.9059307407312628,8.545570432609082e-05,0.5439924416991192,0.9416556880470492,0.23029505460957453,1.1419622066680497,2.6890821278794834,13.708903687338356
step-000001,early,left,layer,9,0.005581807265499309,0.42005606109196136,4.466349442217779e-05,1.0,1.0,0.2297599457457332,1.0,1.0,0.5401750738514848,0.7601715125189286,0.8047366822387647,0.8403888180146337
step-000001,early,left,module,9,0.0055818072654993155,0.4200560610919618,9.427416042856075e-05,1.0,1.0,0.39485877897403127,1.0,1.0,0.5481422340391431,0.6256947489052576,0.6256952373147896,0.6256956280424152
step-000001,early,trapezoid,parameter,14067712,1.0624062664696792e-09,0.029830424756278413,3.835387550954934e-17,0.9936193704355987,0.9867810846391597,0.00010047963326054104,0.5439924416991192,0.996428492627199,0.02075302725908108,0.10624764606940842,0.24819826875585244,1.190611064876663
step-000001,early,trapezoid,layer,9,0.0005221437687280313,0.039293663213932045,3.6871587144201656e-07,1.0,1.0,0.30380013639130304,1.0,1.0,0.046522012158785896,0.08490014774720771,0.08809440788907434,0.09064981600256765
step-000001,early,trapezoid,module,9,0.0005221437687280245,0.03929366321393153,8.511562115517171e-07,1.0,1.0,0.3540183614706831,1.0,1.0,0.046522012158785896,0.05783273684272533,0.05946896457250489,0.06077794675632854
step-000001,early,simpson,parameter,14067712,1.2057150892227056e-11,0.00033854274378561307,5.410304570201267e-21,0.9999507899276422,0.9998521437731203,0.00010189949645930655,0.5439924416991192,0.9999990236473484,0.00015640113239647748,0.0009913482781174507,0.0022483750717638817,0.01147829627182943
step-000001,early,simpson,layer,9,6.489373173801036e-06,0.0004883544709956701,6.337875898847482e-11,1.0,1.0,0.3167913931287782,1.0,1.0,0.000626907492852625,0.00078993907691912,0.0008258541598603139,0.000854586226213269
step-000001,early,simpson,module,9,6.489373173803939e-06,0.0004883544709958885,1.1953399991697302e-10,1.0,1.0,0.34512148163035855,1.0,1.0,0.0006111562868255511,0.000732142608786943,0.000764750803169734,0.0007908373586759668
step-000001,early,gauss_legendre,parameter,14067712,0.0,0.0,0.0,1.0,1.0,0.00010188995458138212,0.5439924416991192,1.0,0.0,0.0,0.0,0.0
step-000001,early,gauss_legendre,layer,9,0.0,0.0,0.0,1.0,1.0,0.3166508175041265,1.0,1.0,0.0,0.0,0.0,0.0
step-000001,early,gauss_legendre,module,9,0.0,0.0,0.0,1.0,1.0,0.3451883717389625,1.0,1.0,0.0,0.0,0.0,0.0
step-000002,early,left,parameter,14067712,5.639378559197504e-09,0.25455661322037293,1.5641216058452037e-15,0.9145806742074283,0.9001145885758317,0.00020889467516657553,0.544501408615701,0.9435549832637061,0.18672385531835448,1.3053680193117474,2.6878091657928302,7.8556190852383105
step-000002,early,left,layer,9,0.004806593529471772,0.4455811596105398,3.3013400131539e-05,0.9500000000000001,1.0,0.3976046074776649,1.0,0.9500000000000001,0.8623275094705685,1.8352308798301555,1.9795005131553092,2.0949162198154325
step-000002,early,left,module,9,0.004806593529471775,0.4455811596105401,6.121999658401403e-05,1.0,1.0,0.3976046074776648,1.0,1.0,0.9903831344980761,1.4846201436942477,1.6716891439960586,1.821344344237508
step-000002,early,trapezoid,parameter,14067712,5.899494140634676e-10,0.02662980029429166,1.5695644233036662e-17,0.99606396897978,0.9886278657806666,0.0002147436465744451,0.544501408615701,0.9976141791496951,0.013910329027425514,0.10016465621805877,0.19916441806771903,0.6711597146219564
step-000002,early,trapezoid,layer,9,0.0004187289409992735,0.038817038709211146,2.4579023348745415e-07,1.0,1.0,0.5346010207933188,1.0,1.0,0.07698334520607591,0.15021224874597872,0.16241884355144365,0.17218411939581563
step-000002,early,trapezoid,module,9,0.0004187289409992741,0.0388170387092112,4.744605304605499e-07,1.0,1.0,0.5346010207933187,1.0,1.0,0.08961959211442798,0.1248552704884248,0.14634415532059333,0.16353526318632822
step-000002,early,simpson,parameter,14067712,5.53273686103197e-12,0.0002497429002858487,1.4389012240407447e-21,0.9999746696771467,0.9998819993573941,0.0002151939549072032,0.544501408615701,0.9999996047889945,7.410944249890733e-05,0.0005930914871323403,0.0011844073544748695,0.004916912009046698
step-000002,early,simpson,layer,9,4.750696343296228e-06,0.00044039937486374384,3.4720822287847783e-11,1.0,1.0,0.5554083677721551,1.0,1.0,0.0008519454012065196,0.0019155683774038715,0.0020689218944089788,0.002191604708013065
step-000002,early,simpson,module,9,4.750696343296301e-06,0.00044039937486375056,6.26550704882299e-11,1.0,1.0,0.5554083677721551,1.0,1.0,0.0009962385702339033,0.001541263289465397,0.0016854983674790655,0.0018008864298900008
step-000002,early,gauss_legendre,parameter,14067712,0.0,0.0,0.0,0.9999999999999999,1.0,0.00021519158947818054,0.544501408615701,0.9999999999999998,0.0,0.0,0.0,0.0
step-000002,early,gauss_legendre,layer,9,0.0,0.0,0.0,1.0,1.0,0.5551704166534528,1.0,1.0,0.0,0.0,0.0,0.0
step-000002,early,gauss_legendre,module,9,0.0,0.0,0.0,1.0,1.0,0.5551704166534528,1.0,1.0,0.0,0.0,0.0,0.0
step-000003,early,left,parameter,14067712,3.185077152657881e-09,0.16453825544990286,5.541075893010478e-16,0.9513879577814447,0.9270827113419943,0.0003677426162541542,0.5445736307368249,0.9723746403165375,0.1361179438930623,0.731994198430104,1.4158822749020756,7.935477721032215
step-000003,early,left,layer,9,0.00230574206507511,0.2655538025737381,8.238129301527037e-06,0.9666666666666667,1.0,0.5326983781624836,1.0,0.9666666666666667,0.6392593329472397,1.2001352894581088,1.5807240715287905,1.8851950971853366
step-000003,early,left,module,9,0.0023057420650751097,0.26461372219049356,1.4400619701343407e-05,0.8333333333333333,1.0,0.5326983781624837,1.0,0.8333333333333333,0.6763605624707417,7.777593667131029,12.171974206091248,15.687478637259431
step-000003,early,trapezoid,parameter,14067712,2.593889815332739e-10,0.013399804293216843,3.36554469016821e-18,0.9977995942368927,0.9940118228113725,0.0003792417613790786,0.5445736307368249,0.9992620041232414,0.007188633139221967,0.045499388624230065,0.09105205465566396,0.4651535306114738
step-000003,early,trapezoid,layer,9,0.00020131562315900514,0.023185650319318796,5.8248807774932115e-08,1.0,1.0,0.6558331310093327,1.0,1.0,0.047899810296433705,0.10443388252552228,0.1421379024947272,0.17230111847009116
step-000003,early,trapezoid,module,9,0.00020131562315900598,0.02310357137777595,9.964728323795052e-08,0.9500000000000001,1.0,0.6558331310093328,1.0,0.9500000000000001,0.056328448763328126,0.6441546012028373,1.0000966991521725,1.284850377511641
step-000003,early,simpson,parameter,14067712,1.0495083005604604e-12,5.421666621491696e-05,5.349303305352754e-23,0.999989621087685,0.9999701444157262,0.00037937628583240105,0.5445736307368249,0.9999999778982591,1.8669857715596386e-05,0.00012788365132801273,0.0002664344397339478,0.0014771291663927214
step-000003,early,simpson,layer,9,8.145426216553137e-07,9.381139972909504e-05,1.034495829567926e-12,1.0,1.0,0.6705234247080449,1.0,1.0,0.00022712647992087238,0.0004317747615434191,0.0005696343402839166,0.0006799220032763148
step-000003,early,simpson,module,9,8.145426216554251e-07,9.347930033623419e-05,1.6696594119276884e-12,1.0,1.0,0.6681346793262568,1.0,1.0,0.00022075129462751405,0.002675748327835817,0.00447049781335012,0.005906297401761566
step-000003,early,gauss_legendre,parameter,14067712,0.0,0.0,0.0,1.0,1.0,0.0003793749044988917,0.5445736307368249,1.0,0.0,0.0,0.0,0.0
step-000003,early,gauss_legendre,layer,9,0.0,0.0,0.0,1.0,1.0,0.6704633760370775,1.0,1.0,0.0,0.0,0.0,0.0
step-000003,early,gauss_legendre,module,9,0.0,0.0,0.0,1.0,1.0,0.6680898853870187,1.0,1.0,0.0,0.0,0.0,0.0
step-000004,early,left,parameter,14067712,2.254766129584235e-09,0.14503702599485901,2.902134105231123e-16,0.9788124881329668,0.9290105290693872,0.00030549339173495155,0.5446294322772601,0.9771434640318982,0.11040441504769616,0.613262448776911,1.2047902046161916,4.261227127531275
step-000004,early,left,layer,9,0.0016006982846650626,0.2131794751206736,3.7118659667734986e-06,0.5666666666666667,1.0,0.8278114098111303,1.0,0.5666666666666667,1.2394947633820956,4.4293560747805785,4.43841645016274,4.445664750468469
step-000004,early,left,module,9,0.0016006982846650621,0.21033853519509363,6.6652830959203e-06,0.6666666666666667,1.0,0.8235672070078596,1.0,0.6666666666666667,0.9452349208998507,3.4569493543392698,7.266762341986827,10.31461273210488
step-000004,early,trapezoid,parameter,14067712,1.5485994342818603e-10,0.00996131055272583,1.2183248772162158e-18,0.9988785470105179,0.9954448908565141,0.00030559747898147835,0.5446294322772601,0.9995979105175957,0.005024569690325176,0.03221006588192,0.06460849117438626,0.24433471658592726
