state_id,phase,update_batch_id,probe_batch_id,probe_sample_count,batches_independent,parameter_count,update_l2_norm,path_learning_rate,path_gradient_norm,path_clip_factor,path_configured_weight_decay,path_path_weight_decay,path_weight_decay_excluded,path_update_loss
step-000000,early,records:32768-32772,records:32772-32776,4,True,14067712,1.6409959660865951,0.0006,3.081951856613159,0.3244695965592825,0.1,0.0,True,11.031106948852539
step-000001,early,records:32776-32780,records:32780-32784,4,True,14067712,1.3538087257351148,0.0006,1.7306466102600098,0.5778183808601923,0.1,0.0,True,10.655529022216797
step-000002,early,records:32784-32788,records:32788-32792,4,True,14067712,1.2826197477735426,0.0005984607970175685,1.4968441724777222,0.6680717674659056,0.1,0.0,True,10.618982315063477
step-000003,early,records:32792-32796,records:32796-32800,4,True,14067712,1.2396793660703929,0.0005938589823757483,1.4659228324890137,0.6821636826124079,0.1,0.0,True,10.377335548400879
step-000004,early,records:32800-32804,records:32804-32808,4,True,14067712,1.194084818655202,0.0005862417769200146,1.6179850101470947,0.6180523154888637,0.1,0.0,True,10.203100204467773
step-000006,early,records:32808-32812,records:32812-32816,4,True,14067712,1.1287659630089977,0.0005623039848433746,1.2940545082092285,0.7727643780782205,0.1,0.0,True,9.996427536010742
step-000008,middle,records:32816-32820,records:32820-32824,4,True,14067712,1.036099412343463,0.0005276274368078372,1.8146919012069702,0.5510574264851591,0.1,0.0,True,10.125646591186523
step-000010,middle,records:32824-32828,records:32828-32832,4,True,14067712,0.956861079217126,0.00048363179476429885,1.5050455331802368,0.664431283654035,0.1,0.0,True,9.83145523071289
step-000012,middle,records:32832-32836,records:32836-32840,4,True,14067712,0.8589707635106216,0.00043211824546729026,1.2941718101501465,0.7726943358391085,0.1,0.0,True,9.669322967529297
step-000014,middle,records:32840-32844,records:32844-32848,4,True,14067712,0.7422629729391521,0.0003751957596776161,1.3705894947052002,0.7296125311412507,0.1,0.0,True,9.475196838378906
step-000016,middle,records:32848-32852,records:32852-32856,4,True,14067712,0.6315013495758964,0.0003151947506516138,1.0244073867797852,0.9761731872807948,0.1,0.0,True,9.544041633605957
step-000018,middle,records:32856-32860,records:32860-32864,4,True,14067712,0.5065308609853368,0.00025457166674862705,1.1514216661453247,0.868490806549562,0.1,0.0,True,9.340469360351562
step-000020,middle,records:32864-32868,records:32868-32872,4,True,14067712,0.38812308484216324,0.00019580842414655393,1.1395918130874634,0.8775064115144173,0.1,0.0,True,9.410392761230469
step-000022,late,records:32872-32876,records:32876-32880,4,True,14067712,0.2801689553447259,0.00014131079690191134,1.1687716245651245,0.8555984106592835,0.1,0.0,True,9.580507278442383
step-000024,late,records:32880-32884,records:32884-32888,4,True,14067712,0.18509552368011953,9.330992427729401e-05,1.0763802528381348,0.9290388487938289,0.1,0.0,True,9.293811798095703
step-000026,late,records:32888-32892,records:32892-32896,4,True,14067712,0.10579124559873104,5.377096763781717e-05,1.2710683345794678,0.7867391438019777,0.1,0.0,True,9.47836685180664
step-000028,late,records:32896-32900,records:32900-32904,4,True,14067712,0.04767252045393556,2.431265651393082e-05,1.309009313583374,0.7639359213775267,0.1,0.0,True,9.177459716796875
step-000029,late,records:32904-32908,records:32908-32912,4,True,14067712,0.02708260892911099,1.3758223079985353e-05,1.2307605743408203,0.812505054470511,0.1,0.0,True,9.307646751403809
step-000030,late,records:32912-32916,records:32916-32920,4,True,14067712,0.01212816639403697,6.141017624251654e-06,1.1355093717575073,0.880661264636651,0.1,0.0,True,9.285651206970215
step-000031,late,records:32920-32924,records:32924-32928,4,True,14067712,0.003004533726586752,1.5392029824314534e-06,1.4219921827316284,0.703238251873342,0.1,0.0,True,9.153327941894531
