checkpoint,double_formula_seconds,microbatch_count,microbatch_size,peak_memory_bytes_for_checkpoint_m,raw_formula_seconds,repetition,seed,shared_gradient_seconds,total_sample_budget,u_formula_seconds
step-000000,0.0005096057429909706,4,1,1696646656,0.00016249623149633408,0,41234,0.1743119303137064,4,0.0004179384559392929
step-000000,0.00032913777977228165,4,1,1696646656,0.000162467360496521,1,41235,0.14505046885460615,4,0.00025132298469543457
step-000000,0.0003324737772345543,4,1,1696646656,0.00016385037451982498,2,41236,0.1547623686492443,4,0.0002551404759287834
step-000000,0.0003346577286720276,4,1,1696646656,0.00016515515744686127,3,41237,0.16948915924876928,4,0.0002545183524489403
step-000000,0.0003358377143740654,4,1,1696646656,0.00016917381435632706,4,41238,0.17873531207442284,4,0.00026569515466690063
step-000000,0.0003345692530274391,4,1,1696646656,0.0001683523878455162,5,41239,0.18181071057915688,4,0.00025783106684684753
step-000000,0.00033644866198301315,4,1,1696646656,0.0001687668263912201,6,41240,0.19178100675344467,4,0.0002578888088464737
step-000000,0.00034183356910943985,4,1,1696646656,0.00017283856868743896,7,41241,0.19575826730579138,4,0.00025987066328525543
step-000000,0.0003398582339286804,4,1,1696646656,0.00016933400183916092,8,41242,0.19843473378568888,4,0.00025702547281980515
step-000000,0.00033541489392518997,4,1,1696646656,0.00016948767006397247,9,41243,0.1988045908510685,4,0.00026171933859586716
step-000000,0.00033683981746435165,4,1,1696646656,0.00016879010945558548,10,41244,0.19876411650329828,4,0.00025782734155654907
step-000000,0.0003388701006770134,4,1,1696646656,0.00017310399562120438,11,41245,0.19884675461798906,4,0.0002608681097626686
step-000000,0.0003383345901966095,4,1,1696646656,0.00016764923930168152,12,41246,0.20044244918972254,4,0.0002593407407402992
step-000000,0.0003377087414264679,4,1,1696646656,0.00017126929014921188,13,41247,0.1986399171873927,4,0.0002581467851996422
step-000000,0.0003397902473807335,4,1,1696646656,0.00017047859728336334,14,41248,0.19854932464659214,4,0.0002577612176537514
step-000000,0.00033710990101099014,4,1,1696646656,0.00017229095101356506,15,41249,0.1989817125722766,4,0.0002574874088168144
step-000000,0.00033478159457445145,4,1,1696646656,0.00016987137496471405,16,41250,0.19813381414860487,4,0.00025898218154907227
step-000000,0.0003375345841050148,4,1,1696646656,0.00016667228192090988,17,41251,0.2003151597455144,4,0.00025793351233005524
step-000000,0.00034778937697410583,4,1,1696646656,0.00017048977315425873,18,41252,0.1986772557720542,4,0.0002541104331612587
step-000000,0.000338616780936718,4,1,1696646656,0.00017752870917320251,19,41253,0.1965851616114378,4,0.0002604881301522255
