checkpoint,left_microbatch_count,right_microbatch_count,spearman,topk_overlap
step-000000,8,16,0.46937553527267534,0.8559126852112496
step-000000,16,32,0.5008845501819242,0.9075870148112132
step-000001,8,16,0.5076495671421909,0.7996562342725048
step-000001,16,32,0.5512305366267342,0.8616534875587515
step-000002,8,16,0.5038945892865568,0.767457697480473
step-000002,16,32,0.5605521979931968,0.8407488917891457
step-000004,8,16,0.5057677547862227,0.7343137338531048
step-000004,16,32,0.5708269379299462,0.8239842703721711
step-000008,8,16,0.5121731164358274,0.7259172061997253
step-000008,16,32,0.580348435815431,0.8025422740856372
step-000012,8,16,0.4718287037193218,0.651473017660289
step-000012,16,32,0.542459751873289,0.7381011279724078
step-000016,8,16,0.45536816853250517,0.6138407645304286
step-000016,16,32,0.535114285598787,0.7122817343535413
step-000020,8,16,0.4258633305850328,0.5938531617063746
step-000020,16,32,0.4959763758355489,0.6704796512867757
step-000026,8,16,0.408954304102461,0.5543215247389058
step-000026,16,32,0.47234422552739597,0.6266502318783712
step-000030,8,16,0.3957230017311087,0.5341007640186185
step-000030,16,32,0.47233308143232666,0.6291040765667784
