checkpoint,double_formula_seconds,microbatch_count,microbatch_size,peak_memory_bytes_for_checkpoint_m,raw_formula_seconds,repetition,seed,shared_gradient_seconds,total_sample_budget,u_formula_seconds
step-000000,0.000522988848388195,4,1,1809892864,0.00016367435455322266,0,41234,0.1746093686670065,4,0.00040024612098932266
step-000000,0.0003298697993159294,4,1,1809892864,0.00015949830412864685,1,41235,0.14502937998622656,4,0.00025196373462677
step-000000,0.0003310376778244972,4,1,1809892864,0.00016129855066537857,2,41236,0.15928739681839943,4,0.000252443365752697
step-000000,0.0003359466791152954,4,1,1809892864,0.0001673465594649315,3,41237,0.17029329016804695,4,0.0002539316192269325
step-000000,0.00033753737807273865,4,1,1809892864,0.0001683393493294716,4,41238,0.1763659529387951,4,0.0002583954483270645
step-000000,0.0003348374739289284,4,1,1809892864,0.00016923900693655014,5,41239,0.18335129972547293,4,0.0002575088292360306
step-000000,0.00033577531576156616,4,1,1809892864,0.00017024576663970947,6,41240,0.19538157992064953,4,0.00026054028421640396
step-000000,0.0003371927887201309,4,1,1809892864,0.00017112493515014648,7,41241,0.19659435283392668,4,0.0002614874392747879
step-000000,0.0003350498154759407,4,1,1809892864,0.00017886795103549957,8,41242,0.19817306008189917,4,0.0002587735652923584
step-000000,0.0003359215334057808,4,1,1809892864,0.00016943737864494324,9,41243,0.19663568027317524,4,0.00025717541575431824
step-000000,0.0003378363326191902,4,1,1809892864,0.00016843434423208237,10,41244,0.19639340974390507,4,0.00025588739663362503
step-000000,0.0003372346982359886,4,1,1809892864,0.00016913842409849167,11,41245,0.1962730772793293,4,0.00025726761668920517
step-000000,0.0003360304981470108,4,1,1809892864,0.00016950443387031555,12,41246,0.19645367097109556,4,0.00025723036378622055
step-000000,0.0003393106162548065,4,1,1809892864,0.00017205160111188889,13,41247,0.1977751860395074,4,0.0002587605267763138
step-000000,0.0003387425094842911,4,1,1809892864,0.00016954168677330017,14,41248,0.19803230464458466,4,0.00026105623692274094
step-000000,0.00033782608807086945,4,1,1809892864,0.0001701507717370987,15,41249,0.1995773734524846,4,0.0002575451508164406
step-000000,0.0003362949937582016,4,1,1809892864,0.00017048977315425873,16,41250,0.20118029043078423,4,0.0002567460760474205
step-000000,0.0003374675288796425,4,1,1809892864,0.00017063599079847336,17,41251,0.20154761895537376,4,0.0002576671540737152
step-000000,0.0003391113132238388,4,1,1809892864,0.00017023179680109024,18,41252,0.201570269651711,4,0.00026109255850315094
step-000000,0.0003398088738322258,4,1,1809892864,0.0001739906147122383,19,41253,0.2011530790477991,4,0.00025822222232818604
step-000000,0.00034102145582437515,4,1,1809892864,0.00017063133418560028,20,41254,0.1996159953996539,4,0.00025801919400691986
step-000000,0.00033695902675390244,4,1,1809892864,0.00017269235104322433,21,41255,0.19790208991616964,4,0.00026032794266939163
step-000000,0.0003403322771191597,4,1,1809892864,0.00016891304403543472,22,41256,0.19909867271780968,4,0.00025937240570783615
step-000000,0.0003356281667947769,4,1,1809892864,0.0001717936247587204,23,41257,0.20033282041549683,4,0.0002585621550679207
step-000000,0.000334935262799263,4,1,1809892864,0.00017103273421525955,24,41258,0.19887002743780613,4,0.0002597309648990631
step-000000,0.0003372160717844963,4,1,1809892864,0.0001695919781923294,25,41259,0.19645317737013102,4,0.0002601267769932747
step-000000,0.00033978745341300964,4,1,1809892864,0.0001741098240017891,26,41260,0.1994470376521349,4,0.0002580452710390091
step-000000,0.0003357101231813431,4,1,1809892864,0.000171649269759655,27,41261,0.20074413903057575,4,0.0002585211768746376
step-000000,0.0003394288942217827,4,1,1809892864,0.00016665086150169373,28,41262,0.19946030899882317,4,0.00025969836860895157
step-000000,0.00034036580473184586,4,1,1809892864,0.00016939081251621246,29,41263,0.1997667020186782,4,0.0002668797969818115
