checkpoint,score_variant,scope,group_count,left_microbatch_count,right_microbatch_count,spearman,topk_overlap
step-000026,positive,layer,9,8,16,1.0,1.0
step-000026,positive,module,9,8,16,0.9833333333333333,1.0
step-000026,positive,parameter,14067712,16,32,0.9730115958382006,0.8995587060305437
step-000026,positive,layer,9,16,32,1.0,1.0
step-000026,positive,module,9,16,32,0.9833333333333333,1.0
step-000030,signed,parameter,14067712,8,16,0.3957230017311087,0.5341007640186185
step-000030,signed,layer,9,8,16,0.5833333333333334,1.0
step-000030,signed,module,9,8,16,0.9333333333333332,1.0
step-000030,signed,parameter,14067712,16,32,0.47233308143232666,0.6291040765667784
step-000030,signed,layer,9,16,32,1.0,1.0
step-000030,signed,module,9,16,32,1.0,1.0
step-000030,positive,parameter,14067712,8,16,0.9775053920182546,0.8975199961329909
step-000030,positive,layer,9,8,16,1.0,1.0
step-000030,positive,module,9,8,16,0.9833333333333333,1.0
step-000030,positive,parameter,14067712,16,32,0.9729785123459421,0.8972427657075915
step-000030,positive,layer,9,16,32,1.0,1.0
step-000030,positive,module,9,16,32,0.9833333333333333,1.0
