task,route,estimator,score_type,balance,metric,comparison,min_fraction,max_fraction,point_count,gap_auc
sst2,direct,u_statistic,positive,layer_balanced,ece,random_minus_high,0.0,0.3,9,-0.02253254468246513
sst2,direct,u_statistic,positive,layer_balanced,nll,low_minus_high,0.0,0.3,9,0.05023652602344843
sst2,direct,u_statistic,positive,layer_balanced,nll,random_minus_high,0.0,0.3,9,0.06503401056332371
sst2,direct,u_statistic,signed,global,accuracy,low_minus_high,0.0,0.3,9,0.09697113914373087
sst2,direct,u_statistic,signed,global,accuracy,random_minus_high,0.0,0.3,9,0.09634889143730889
sst2,direct,u_statistic,signed,global,ece,low_minus_high,0.0,0.3,9,-0.0310925815114292
sst2,direct,u_statistic,signed,global,ece,random_minus_high,0.0,0.3,9,-0.02228948187009706
sst2,direct,u_statistic,signed,global,nll,low_minus_high,0.0,0.3,9,0.04469367705108967
sst2,direct,u_statistic,signed,global,nll,random_minus_high,0.0,0.3,9,0.06612991112318882
sst2,direct,u_statistic,signed,layer_balanced,accuracy,low_minus_high,0.0,0.3,9,0.0974216360856269
sst2,direct,u_statistic,signed,layer_balanced,accuracy,random_minus_high,0.0,0.3,9,0.09593983180428134
sst2,direct,u_statistic,signed,layer_balanced,ece,low_minus_high,0.0,0.3,9,-0.02763554515162998
sst2,direct,u_statistic,signed,layer_balanced,ece,random_minus_high,0.0,0.3,9,-0.02253254468246513
sst2,direct,u_statistic,signed,layer_balanced,nll,low_minus_high,0.0,0.3,9,0.05468178147158446
sst2,direct,u_statistic,signed,layer_balanced,nll,random_minus_high,0.0,0.3,9,0.06503401056332371
sst2,pretrained,double,positive,global,accuracy,low_minus_high,0.0,0.3,9,0.09936563455657492
sst2,pretrained,double,positive,global,accuracy,random_minus_high,0.0,0.3,9,0.09996639908256882
sst2,pretrained,double,positive,global,ece,low_minus_high,0.0,0.3,9,-0.028624939641703696
sst2,pretrained,double,positive,global,ece,random_minus_high,0.0,0.3,9,-0.020419217835314966
sst2,pretrained,double,positive,global,nll,low_minus_high,0.0,0.3,9,0.05400186634808779
sst2,pretrained,double,positive,global,nll,random_minus_high,0.0,0.3,9,0.06992085007083024
sst2,pretrained,double,positive,layer_balanced,accuracy,low_minus_high,0.0,0.3,9,0.09960760703363913
sst2,pretrained,double,positive,layer_balanced,accuracy,random_minus_high,0.0,0.3,9,0.09932306001529051
sst2,pretrained,double,positive,layer_balanced,ece,low_minus_high,0.0,0.3,9,-0.02586747925808256
sst2,pretrained,double,positive,layer_balanced,ece,random_minus_high,0.0,0.3,9,-0.02078856153202564
sst2,pretrained,double,positive,layer_balanced,nll,low_minus_high,0.0,0.3,9,0.06177904511090447
sst2,pretrained,double,positive,layer_balanced,nll,random_minus_high,0.0,0.3,9,0.06879654754860845
sst2,pretrained,magnitude,positive,global,accuracy,low_minus_high,0.0,0.3,9,0.03794762996941896
sst2,pretrained,magnitude,positive,global,accuracy,random_minus_high,0.0,0.3,9,0.03742721712538226
sst2,pretrained,magnitude,positive,global,ece,low_minus_high,0.0,0.3,9,-8.61538470413778e-05
sst2,pretrained,magnitude,positive,global,ece,random_minus_high,0.0,0.3,9,0.008110465569544792
sst2,pretrained,magnitude,positive,global,nll,low_minus_high,0.0,0.3,9,0.016953031334536153
sst2,pretrained,magnitude,positive,global,nll,random_minus_high,0.0,0.3,9,0.034772297407593286
sst2,pretrained,magnitude,positive,layer_balanced,accuracy,low_minus_high,0.0,0.3,9,0.04696444954128441
sst2,pretrained,magnitude,positive,layer_balanced,accuracy,random_minus_high,0.0,0.3,9,0.04578731842507644
sst2,pretrained,magnitude,positive,layer_balanced,ece,low_minus_high,0.0,0.3,9,0.018356979826748387
sst2,pretrained,magnitude,positive,layer_balanced,ece,random_minus_high,0.0,0.3,9,0.026545067344383916
sst2,pretrained,magnitude,positive,layer_balanced,nll,low_minus_high,0.0,0.3,9,0.0257206989417838
sst2,pretrained,magnitude,positive,layer_balanced,nll,random_minus_high,0.0,0.3,9,0.04307255437986908
sst2,pretrained,movement,positive,global,accuracy,low_minus_high,0.0,0.3,9,0.053356842507645275
sst2,pretrained,movement,positive,global,accuracy,random_minus_high,0.0,0.3,9,0.05278386850152905
sst2,pretrained,movement,positive,global,ece,low_minus_high,0.0,0.3,9,0.009077512787284536
sst2,pretrained,movement,positive,global,ece,random_minus_high,0.0,0.3,9,0.017780437196049898
sst2,pretrained,movement,positive,global,nll,low_minus_high,0.0,0.3,9,0.026271429516192782
sst2,pretrained,movement,positive,global,nll,random_minus_high,0.0,0.3,9,0.04482465900372976
sst2,pretrained,movement,positive,layer_balanced,accuracy,low_minus_high,0.0,0.3,9,0.10014029051987766
sst2,pretrained,movement,positive,layer_balanced,accuracy,random_minus_high,0.0,0.3,9,0.0984830370795107
sst2,pretrained,movement,positive,layer_balanced,ece,low_minus_high,0.0,0.3,9,-0.03063314696029815
sst2,pretrained,movement,positive,layer_balanced,ece,random_minus_high,0.0,0.3,9,-0.02066692807933709
sst2,pretrained,movement,positive,layer_balanced,nll,low_minus_high,0.0,0.3,9,0.03453793128285933
sst2,pretrained,movement,positive,layer_balanced,nll,random_minus_high,0.0,0.3,9,0.06809811900431569
sst2,pretrained,raw,positive,global,accuracy,low_minus_high,0.0,0.3,9,0.10052025993883792
sst2,pretrained,raw,positive,global,accuracy,random_minus_high,0.0,0.3,9,0.09996639908256882
sst2,pretrained,raw,positive,global,ece,low_minus_high,0.0,0.3,9,-0.029119493324709644
sst2,pretrained,raw,positive,global,ece,random_minus_high,0.0,0.3,9,-0.020419217835314966
sst2,pretrained,raw,positive,global,nll,low_minus_high,0.0,0.3,9,0.05136724265885827
sst2,pretrained,raw,positive,global,nll,random_minus_high,0.0,0.3,9,0.06992085007083024
sst2,pretrained,raw,positive,layer_balanced,accuracy,low_minus_high,0.0,0.3,9,0.09947935779816511
sst2,pretrained,raw,positive,layer_balanced,accuracy,random_minus_high,0.0,0.3,9,0.09932306001529051
sst2,pretrained,raw,positive,layer_balanced,ece,low_minus_high,0.0,0.3,9,-0.030796556045180005
sst2,pretrained,raw,positive,layer_balanced,ece,random_minus_high,0.0,0.3,9,-0.02078856153202564
sst2,pretrained,raw,positive,layer_balanced,nll,low_minus_high,0.0,0.3,9,0.03683953340624997
sst2,pretrained,raw,positive,layer_balanced,nll,random_minus_high,0.0,0.3,9,0.06879654754860845
sst2,pretrained,u_statistic,positive,global,accuracy,low_minus_high,0.0,0.3,9,0.10052025993883792
sst2,pretrained,u_statistic,positive,global,accuracy,random_minus_high,0.0,0.3,9,0.09996639908256882
sst2,pretrained,u_statistic,positive,global,ece,low_minus_high,0.0,0.3,9,-0.029119493324709644
sst2,pretrained,u_statistic,positive,global,ece,random_minus_high,0.0,0.3,9,-0.020419217835314966
sst2,pretrained,u_statistic,positive,global,nll,low_minus_high,0.0,0.3,9,0.05136724265885827
sst2,pretrained,u_statistic,positive,global,nll,random_minus_high,0.0,0.3,9,0.06992085007083024
sst2,pretrained,u_statistic,positive,layer_balanced,accuracy,low_minus_high,0.0,0.3,9,0.09962060397553518
sst2,pretrained,u_statistic,positive,layer_balanced,accuracy,random_minus_high,0.0,0.3,9,0.09932306001529051
sst2,pretrained,u_statistic,positive,layer_balanced,ece,low_minus_high,0.0,0.3,9,-0.02952165878267291
sst2,pretrained,u_statistic,positive,layer_balanced,ece,random_minus_high,0.0,0.3,9,-0.02078856153202564
sst2,pretrained,u_statistic,positive,layer_balanced,nll,low_minus_high,0.0,0.3,9,0.04202889709808046
sst2,pretrained,u_statistic,positive,layer_balanced,nll,random_minus_high,0.0,0.3,9,0.06879654754860845
sst2,pretrained,u_statistic,signed,global,accuracy,low_minus_high,0.0,0.3,9,0.10052025993883792
