estimator,scope,microbatch_count,repetition_mse_n,repetition_mse_mean,repetition_mse_std,repetition_mse_ci_low,repetition_mse_ci_high,repetition_variance_n,repetition_variance_mean,repetition_variance_std,repetition_variance_ci_low,repetition_variance_ci_high,mean_estimate_mse_n,mean_estimate_mse_mean,mean_estimate_mse_std,mean_estimate_mse_ci_low,mean_estimate_mse_ci_high,absolute_bias_n,absolute_bias_mean,absolute_bias_std,absolute_bias_ci_low,absolute_bias_ci_high,spearman_n,spearman_mean,spearman_std,spearman_ci_low,spearman_ci_high,topk_overlap_n,topk_overlap_mean,topk_overlap_std,topk_overlap_ci_low,topk_overlap_ci_high,formula_seconds_n,formula_seconds_mean,formula_seconds_std,formula_seconds_ci_low,formula_seconds_ci_high
raw,parameter,32,10,2.0168681854324584e-18,1.6813208129508666e-18,1.0365793269439532e-18,3.0154873694776016e-18,10,1.9716370191490045e-18,1.6382768404636783e-18,1.0198787760913033e-18,2.933568002988072e-18,10,5.50893513791933e-20,6.94202861608727e-20,1.8793555169967337e-20,1.0089646742201357e-19,10,8.66430257062285e-12,1.1362358452171518e-11,3.1787388650485705e-12,1.6019187524461378e-11,10,0.7200776621960493,0.08469290200986092,0.665089978890246,0.7630653100125492,10,0.7038580523354175,0.09960058746678428,0.6462450347319963,0.7633424286238282,10,0.034269426576793195,9.03494630071895e-05,0.03421369269490242,0.034317126080859454
raw,parameter,4,10,3.9113405839827303e-17,3.261561004272009e-17,2.045161288491981e-17,5.815574926438005e-17,10,3.7672379863493556e-17,3.134628307723657e-17,1.9483851588366445e-17,5.656674820469411e-17,10,1.6293878756512086e-18,1.5460825255806309e-18,7.7405945457488e-19,2.556266073494083e-18,10,6.630602239150093e-11,8.525015227055439e-11,2.4063593170441614e-11,1.2190590782891864e-10,10,0.6735363149505604,0.02901056288059138,0.6550512129688065,0.6887566284333732,10,0.6331031609955273,0.0964570500814177,0.5794294100252207,0.690439506188636,10,0.034003627859055995,0.00017211989381713119,0.03388800745131448,0.0340776944742538
raw,parameter,8,10,1.1553098503403601e-17,9.827438816423202e-18,5.8753972202927445e-18,1.7389732996793253e-17,10,1.1199857560540327e-17,9.516694893650092e-18,5.679247018761992e-18,1.691041958400503e-17,10,4.0924023066597717e-19,3.840517203809572e-19,1.8683994155798675e-19,6.381695759505999e-19,10,3.257232369614542e-11,4.096808761224063e-11,1.2207986940103909e-11,5.936821762698662e-11,10,0.6607257426561316,0.04927119247815581,0.6299675632564404,0.6873230859922838,10,0.6509262339597319,0.09792712999301838,0.5964392488619334,0.7083727178249211,10,0.03418246414512396,4.029611044777562e-05,0.03415792675921694,0.03420571264112368
u_statistic,layer,16,0,,,,,0,,,,,10,4.318532622374493e-12,9.390126884812314e-12,3.8009200768851883e-13,1.0302557855821165e-11,10,7.782587548712294e-07,1.3098893550459718e-06,2.1100607616482217e-07,1.6322970267239546e-06,10,0.9516666666666665,0.10670427577719553,0.8816666666666666,1.0,10,1.0,0.0,1.0,1.0,10,0.051803160738199946,4.9686747984724484e-05,0.05177396993851289,0.05183159660315141
u_statistic,layer,32,0,,,,,0,,,,,10,3.486575588484222e-12,9.516162297783876e-12,1.7813675729466111e-13,9.615879196411766e-12,10,6.565041196364975e-07,1.2856201459754914e-06,1.4665752512166163e-07,1.512539779757695e-06,10,0.9966666666666667,0.007027283689263086,0.9916666666666666,1.0,10,1.0,0.0,1.0,1.0,10,0.05180798238143325,8.47693534837319e-05,0.05175085273105651,0.05184670778224244
u_statistic,layer,4,0,,,,,0,,,,,10,1.2708804398999795e-11,1.8764978863435816e-11,3.0627596261756457e-12,2.45766191332117e-11,10,1.3350589583427882e-06,1.522442149599531e-06,5.461916042365196e-07,2.2817451139685514e-06,10,0.9333333333333332,0.06983225049986966,0.8916666666666666,0.9716666666666667,10,1.0,0.0,1.0,1.0,10,0.0516923020593822,0.00014493206381640226,0.0516002183384262,0.05177005340345204
u_statistic,layer,8,0,,,,,0,,,,,10,1.0362946696642936e-11,2.972228112505361e-11,4.466666384652871e-13,2.9350386328861095e-11,10,1.1590786005036404e-06,2.2816424880254566e-06,2.5613530149876605e-07,2.6608568607227406e-06,10,0.9133333333333334,0.16551453630541052,0.7983333333333333,0.9933333333333334,10,1.0,0.0,1.0,1.0,10,0.051776408962905404,2.4533313354159996e-05,0.05176191917387769,0.05179045986384153
u_statistic,module,16,0,,,,,0,,,,,10,7.376382414951909e-12,1.8472431427775442e-11,3.938442167117264e-13,1.945266613917054e-11,10,7.757320658664654e-07,1.3112439250496736e-06,2.0057602578304312e-07,1.6394748583552054e-06,10,1.0,0.0,1.0,1.0,10,1.0,0.0,1.0,1.0,10,0.051803160738199946,4.9686747984724484e-05,0.05177377119194716,0.05183189670089632
u_statistic,module,32,0,,,,,0,,,,,10,7.677583695551987e-12,2.2812452289366888e-11,1.8930428172247996e-13,2.2242344359206853e-11,10,6.281472229883248e-07,1.2871155228326555e-06,1.3622416839157866e-07,1.46518636845026e-06,10,1.0,0.0,1.0,1.0,10,1.0,0.0,1.0,1.0,10,0.05180798238143325,8.47693534837319e-05,0.051751932804472746,0.0518464015214704
u_statistic,module,4,0,,,,,0,,,,,10,1.9465636821282837e-11,3.341971400728807e-11,3.5669315177304707e-12,4.161709126331553e-11,10,1.3121964420880937e-06,1.5325551133070957e-06,5.240430471442965e-07,2.3242770900674374e-06,10,0.9916666666666666,0.011785113019775804,0.985,0.9983333333333334,10,1.0,0.0,1.0,1.0,10,0.0516923020593822,0.00014493206381640226,0.0515988512034528,0.051768552949652075
u_statistic,module,8,0,,,,,0,,,,,10,2.0935968364327642e-11,6.249109028630433e-11,4.876318432833661e-13,6.07642405274331e-11,10,1.1420820016715803e-06,2.2846184805752165e-06,2.4103337795080846e-07,2.659961422864036e-06,10,0.9933333333333334,0.021081851067789224,0.9799999999999999,1.0,10,1.0,0.0,1.0,1.0,10,0.051776408962905404,2.4533313354159996e-05,0.051761626680381596,0.051790353639516985
u_statistic,parameter,16,10,3.578962332636771e-18,3.094514638383147e-18,1.7109078504211396e-18,5.419227511244517e-18,10,3.567938328860362e-18,3.0897173551809452e-18,1.7923427534995372e-18,5.425092736644337e-18,10,2.886369542070815e-20,2.706507156274601e-20,1.4037401870356425e-20,4.572233999427227e-20,10,2.8222558003943965e-12,3.775629363180867e-12,1.0705235612049445e-12,5.377681298792341e-12,10,0.520998412777298,0.03618332780741357,0.4994842166644735,0.5415704064672628,10,0.7782540454316692,0.09269684906068834,0.7238438069566355,0.8317149722911744,10,0.051803160738199946,4.9686747984724484e-05,0.051773344564717265,0.051832089531235394
u_statistic,parameter,32,10,1.813811483561757e-18,1.5106911286728051e-18,9.422783027928995e-19,2.682576299839004e-18,10,1.7965038016958256e-18,1.490873944455301e-18,9.311721765486368e-19,2.6652205909785458e-18,10,2.6290200874412688e-20,3.9186519710920737e-20,6.892526420706171e-21,5.122558292607526e-20,10,2.1267375338724936e-12,2.8181852778295755e-12,7.681584079986184e-13,4.017160955092966e-12,10,0.594891233771339,0.03386827847820075,0.5734254132819866,0.6130340761419657,10,0.8396193555174541,0.07407774412672424,0.7961452637669786,0.882761321664065,10,0.05180798238143325,8.47693534837319e-05,0.05174992142245173,0.05184617730788887
u_statistic,parameter,4,10,1.7329239197838454e-17,1.455332233097512e-17,8.892694150147794e-18,2.577637251560178e-17,10,1.732867744190019e-17,1.4575892431837316e-17,8.956179202436266e-18,2.589445288027168e-17,10,8.720514314776079e-20,7.976360186526229e-20,4.241097798650368e-20,1.3581031523360208e-19,10,7.1688912246436056e-12,9.599388290132904e-12,2.6529743685727516e-12,1.3419649811779611e-11,10,0.4215633659997349,0.018582792614125355,0.4105786173056876,0.432430256049565,10,0.6656143284057402,0.08510890341774818,0.6185299536811936,0.7164617969365327,10,0.0516923020593822,0.00014493206381640226,0.051599915539845824,0.051769232924561946
u_statistic,parameter,8,10,7.70600990734532e-18,6.473816268351811e-18,3.877444863203847e-18,1.1454802185593175e-17,10,7.70050735540525e-18,6.4633363450196385e-18,3.890901364522631e-18,1.1403198255331577e-17,10,4.400508871709574e-20,5.0443431171508384e-20,1.74560933166828e-20,7.676427733253274e-20,10,4.128946274407226e-12,5.465885106070402e-12,1.4914703812007316e-12,7.689633249972567e-12,10,0.45178217176389845,0.02998408681032628,0.4336131266534419,0.46891800825467356,10,0.7281944764325704,0.0878579294149998,0.6771939660442488,0.7819166147748178,10,0.051776408962905404,2.4533313354159996e-05,0.051761908007320015,0.051790652640629556
