task,route,estimator,score_type,balance,fraction,metric,seed,comparison,left_mean,high_mean,gap,left_mask_n,high_mask_n,direction
sst2,direct,double,positive,global,0.001,nll,1337,random_minus_high,0.5591716802448308,0.6931471824645996,0.13397550221976884,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.001,nll,2027,low_minus_high,0.5296879900157998,0.6931471824645996,0.1634591924487998,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.001,nll,2027,random_minus_high,0.5260304300644256,0.6931471824645996,0.16711675240017398,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.005,accuracy,1234,low_minus_high,0.823394495412844,0.4908256880733945,0.33256880733944955,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.005,accuracy,1234,random_minus_high,0.8198394495412844,0.4908256880733945,0.3290137614678899,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.005,accuracy,1337,low_minus_high,0.8073394495412844,0.4908256880733945,0.31651376146788995,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.005,accuracy,1337,random_minus_high,0.8071674311926605,0.4908256880733945,0.31634174311926605,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.005,accuracy,2027,low_minus_high,0.8222477064220184,0.4908256880733945,0.3314220183486239,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.005,accuracy,2027,random_minus_high,0.8180619266055047,0.4908256880733945,0.3272362385321102,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.005,ece,1234,low_minus_high,0.11507059710084622,0.009174317121505737,-0.10589627997934048,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.005,ece,1234,random_minus_high,0.1123573901962367,0.009174317121505737,-0.10318307307473096,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.005,ece,1337,low_minus_high,0.12102803391334616,0.009174317121505737,-0.11185371679184042,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.005,ece,1337,random_minus_high,0.1215907317258889,0.009174317121505737,-0.11241641460438316,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.005,ece,2027,low_minus_high,0.11563400333772655,0.009174317121505737,-0.10645968621622082,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.005,ece,2027,random_minus_high,0.10759647399946126,0.009174317121505737,-0.09842215687795552,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.005,nll,1234,low_minus_high,0.5612309553207607,0.6931471824645996,0.13191622714383888,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.005,nll,1234,random_minus_high,0.54341118614608,0.6931471824645996,0.14973599631851964,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.005,nll,1337,low_minus_high,0.5545715755278912,0.6931471824645996,0.13857560693670845,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.005,nll,1337,random_minus_high,0.5563364605974713,0.6931471824645996,0.13681072186712828,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.005,nll,2027,low_minus_high,0.5288924058779664,0.6931471824645996,0.16425477658663323,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.005,nll,2027,random_minus_high,0.5243400363302833,0.6931471824645996,0.16880714613431635,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.01,accuracy,1234,low_minus_high,0.8084862385321101,0.4908256880733945,0.3176605504587156,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.01,accuracy,1234,random_minus_high,0.8190940366972479,0.4908256880733945,0.3282683486238534,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.01,accuracy,1337,low_minus_high,0.8142201834862385,0.4908256880733945,0.323394495412844,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.01,accuracy,1337,random_minus_high,0.8067087155963302,0.4908256880733945,0.3158830275229357,20,1,positive_means_high_pruning_is_more_harmful
