task,route,estimator,score_type,balance,mode,fraction,metric,training_seed_n,mask_row_n,seeds,value_n,value_mean,value_std,value_ci_low,value_ci_high
sst2,direct,double,positive,global,low,0.01,nll,3,3,1234;1337;2027,3,0.5486404889858462,0.024437464969177456,0.5315057841736243,0.5766241003613953
sst2,direct,double,positive,global,low,0.02,accuracy,3,3,1234;1337;2027,3,0.8146024464831805,0.003686410841358178,0.8119266055045872,0.8188073394495413
sst2,direct,double,positive,global,low,0.02,ece,3,3,1234;1337;2027,3,0.11638513404427864,0.00561139823505448,0.11284834804796695,0.12285524468225428
sst2,direct,double,positive,global,low,0.02,nll,3,3,1234;1337;2027,3,0.5508624844663187,0.025920676905336514,0.5356588218395316,0.580791831836788
sst2,direct,double,positive,global,low,0.05,accuracy,3,3,1234;1337;2027,3,0.8142201834862385,0.004134806508559619,0.8107798165137615,0.8188073394495413
sst2,direct,double,positive,global,low,0.05,ece,3,3,1234;1337;2027,3,0.11684216686754027,0.0053289982271942414,0.11269255202958373,0.12285191324765854
sst2,direct,double,positive,global,low,0.05,nll,3,3,1234;1337;2027,3,0.5510014269945271,0.025990807934363144,0.5359428953892047,0.5810129650689047
sst2,direct,double,positive,global,low,0.1,accuracy,3,3,1234;1337;2027,3,0.8146024464831805,0.003686410841358178,0.8119266055045872,0.8188073394495413
sst2,direct,double,positive,global,low,0.1,ece,3,3,1234;1337;2027,3,0.1168994500025304,0.005260186928451164,0.11285928516710908,0.12284730120152354
sst2,direct,double,positive,global,low,0.1,nll,3,3,1234;1337;2027,3,0.5507328049920568,0.026044315075344396,0.5353663024757433,0.5808037604213855
sst2,direct,double,positive,global,low,0.2,accuracy,3,3,1234;1337;2027,3,0.8146024464831805,0.003686410841358178,0.8119266055045872,0.8188073394495413
sst2,direct,double,positive,global,low,0.2,ece,3,3,1234;1337;2027,3,0.1167689734160852,0.006358259188061638,0.11278731563495215,0.12410183009467635
sst2,direct,double,positive,global,low,0.2,nll,3,3,1234;1337;2027,3,0.5507582071428088,0.026046710402944883,0.5356147526806101,0.5808341109424556
sst2,direct,double,positive,global,low,0.3,accuracy,3,3,1234;1337;2027,3,0.8146024464831805,0.003686410841358178,0.8119266055045872,0.8188073394495413
sst2,direct,double,positive,global,low,0.3,ece,3,3,1234;1337;2027,3,0.11733056329786856,0.005905705644641438,0.11295425859264663,0.12404787970209424
sst2,direct,double,positive,global,low,0.3,nll,3,3,1234;1337;2027,3,0.5507628047206533,0.026049269540695558,0.5354593125163415,0.580840357126446
sst2,direct,double,positive,layer_balanced,high,0.0,accuracy,3,3,1234;1337;2027,3,0.8146024464831804,0.006520918237473971,0.8073394495412844,0.819954128440367
sst2,direct,double,positive,layer_balanced,high,0.0,ece,3,3,1234;1337;2027,3,0.11290184830907207,0.007911690067749102,0.10554803269136448,0.1212729958458999
sst2,direct,double,positive,layer_balanced,high,0.0,nll,3,3,1234;1337;2027,3,0.5437913840744838,0.01670989282012893,0.5261339113936512,0.5593566448863493
sst2,direct,double,positive,layer_balanced,high,0.001,accuracy,3,3,1234;1337;2027,3,0.4908256880733945,0.0,0.4908256880733945,0.4908256880733945
sst2,direct,double,positive,layer_balanced,high,0.001,ece,3,3,1234;1337;2027,3,0.009174317121505737,0.0,0.009174317121505737,0.009174317121505737
sst2,direct,double,positive,layer_balanced,high,0.001,nll,3,3,1234;1337;2027,3,0.6931471824645996,0.0,0.6931471824645996,0.6931471824645996
sst2,direct,double,positive,layer_balanced,high,0.005,accuracy,3,3,1234;1337;2027,3,0.4908256880733945,0.0,0.4908256880733945,0.4908256880733945
sst2,direct,double,positive,layer_balanced,high,0.005,ece,3,3,1234;1337;2027,3,0.009174317121505737,0.0,0.009174317121505737,0.009174317121505737
sst2,direct,double,positive,layer_balanced,high,0.005,nll,3,3,1234;1337;2027,3,0.6931471824645996,0.0,0.6931471824645996,0.6931471824645996
sst2,direct,double,positive,layer_balanced,high,0.01,accuracy,3,3,1234;1337;2027,3,0.4908256880733945,0.0,0.4908256880733945,0.4908256880733945
sst2,direct,double,positive,layer_balanced,high,0.01,ece,3,3,1234;1337;2027,3,0.009174317121505737,0.0,0.009174317121505737,0.009174317121505737
sst2,direct,double,positive,layer_balanced,high,0.01,nll,3,3,1234;1337;2027,3,0.6931471824645996,0.0,0.6931471824645996,0.6931471824645996
sst2,direct,double,positive,layer_balanced,high,0.02,accuracy,3,3,1234;1337;2027,3,0.4908256880733945,0.0,0.4908256880733945,0.4908256880733945
sst2,direct,double,positive,layer_balanced,high,0.02,ece,3,3,1234;1337;2027,3,0.009174317121505737,0.0,0.009174317121505737,0.009174317121505737
sst2,direct,double,positive,layer_balanced,high,0.02,nll,3,3,1234;1337;2027,3,0.6931471824645996,0.0,0.6931471824645996,0.6931471824645996
sst2,direct,double,positive,layer_balanced,high,0.05,accuracy,3,3,1234;1337;2027,3,0.4908256880733945,0.0,0.4908256880733945,0.4908256880733945
sst2,direct,double,positive,layer_balanced,high,0.05,ece,3,3,1234;1337;2027,3,0.009174317121505737,0.0,0.009174317121505737,0.009174317121505737
sst2,direct,double,positive,layer_balanced,high,0.05,nll,3,3,1234;1337;2027,3,0.6931471824645996,0.0,0.6931471824645996,0.6931471824645996
sst2,direct,double,positive,layer_balanced,high,0.1,accuracy,3,3,1234;1337;2027,3,0.4908256880733945,0.0,0.4908256880733945,0.4908256880733945
sst2,direct,double,positive,layer_balanced,high,0.1,ece,3,3,1234;1337;2027,3,0.009174317121505737,0.0,0.009174317121505737,0.009174317121505737
sst2,direct,double,positive,layer_balanced,high,0.1,nll,3,3,1234;1337;2027,3,0.6931471824645996,0.0,0.6931471824645996,0.6931471824645996
sst2,direct,double,positive,layer_balanced,high,0.2,accuracy,3,3,1234;1337;2027,3,0.4908256880733945,0.0,0.4908256880733945,0.4908256880733945
sst2,direct,double,positive,layer_balanced,high,0.2,ece,3,3,1234;1337;2027,3,0.009174317121505737,0.0,0.009174317121505737,0.009174317121505737
sst2,direct,double,positive,layer_balanced,high,0.2,nll,3,3,1234;1337;2027,3,0.6931471824645996,0.0,0.6931471824645996,0.6931471824645996
sst2,direct,double,positive,layer_balanced,high,0.3,accuracy,3,3,1234;1337;2027,3,0.4908256880733945,0.0,0.4908256880733945,0.4908256880733945
sst2,direct,double,positive,layer_balanced,high,0.3,ece,3,3,1234;1337;2027,3,0.009174317121505737,0.0,0.009174317121505737,0.009174317121505737
sst2,direct,double,positive,layer_balanced,high,0.3,nll,3,3,1234;1337;2027,3,0.6931471824645996,0.0,0.6931471824645996,0.6931471824645996
sst2,direct,double,positive,layer_balanced,low,0.0,accuracy,3,3,1234;1337;2027,3,0.8146024464831804,0.006520918237473971,0.8073394495412844,0.819954128440367
sst2,direct,double,positive,layer_balanced,low,0.0,ece,3,3,1234;1337;2027,3,0.11290184830907207,0.007911690067749102,0.10554803269136448,0.1212729958458999
sst2,direct,double,positive,layer_balanced,low,0.0,nll,3,3,1234;1337;2027,3,0.5437913840744838,0.01670989282012893,0.5261339113936512,0.5593566448863493
sst2,direct,double,positive,layer_balanced,low,0.001,accuracy,3,3,1234;1337;2027,3,0.8130733944954128,0.00895670834392967,0.8027522935779817,0.8188073394495413
sst2,direct,double,positive,layer_balanced,low,0.001,ece,3,3,1234;1337;2027,3,0.11755030036271082,0.012881928755602698,0.1051394788670863,0.13085660688621448
sst2,direct,double,positive,layer_balanced,low,0.001,nll,3,3,1234;1337;2027,3,0.5425446213476519,0.0260581425624119,0.5131826279086804,0.5629205104954745
sst2,direct,double,positive,layer_balanced,low,0.005,accuracy,3,3,1234;1337;2027,3,0.8119266055045872,0.008956708343929635,0.801605504587156,0.8176605504587156
sst2,direct,double,positive,layer_balanced,low,0.005,ece,3,3,1234;1337;2027,3,0.11691870411910514,0.011223376697712591,0.10471373759133706,0.12679521421659856
sst2,direct,double,positive,layer_balanced,low,0.005,nll,3,3,1234;1337;2027,3,0.5400748109553203,0.025167908921804493,0.511211972922907,0.5574432480225869
sst2,direct,double,positive,layer_balanced,low,0.01,accuracy,3,3,1234;1337;2027,3,0.8096330275229358,0.0071616949522917564,0.801605504587156,0.8153669724770642
sst2,direct,double,positive,layer_balanced,low,0.01,ece,3,3,1234;1337;2027,3,0.11735013903685775,0.007751312050606642,0.11040772340191302,0.12571368651645864
sst2,direct,double,positive,layer_balanced,low,0.01,nll,3,3,1234;1337;2027,3,0.536911315236252,0.02199851912538317,0.5116442745431847,0.5518069882458503
sst2,direct,double,positive,layer_balanced,low,0.02,accuracy,3,3,1234;1337;2027,3,0.8103975535168196,0.0086833460944958,0.8004587155963302,0.8165137614678898
sst2,direct,double,positive,layer_balanced,low,0.02,ece,3,3,1234;1337;2027,3,0.11893312483514784,0.00920179447316182,0.10974761179697438,0.1281511147748816
sst2,direct,double,positive,layer_balanced,low,0.02,nll,3,3,1234;1337;2027,3,0.5386796740854917,0.020565321826935882,0.5149575317398124,0.5514774595925568
sst2,direct,double,positive,layer_balanced,low,0.05,accuracy,3,3,1234;1337;2027,3,0.8130733944954128,0.010192883506095844,0.801605504587156,0.8211009174311926
sst2,direct,double,positive,layer_balanced,low,0.05,ece,3,3,1234;1337;2027,3,0.1150647097338822,0.007836066456069296,0.10940541330906428,0.12400853904321385
sst2,direct,double,positive,layer_balanced,low,0.05,nll,3,3,1234;1337;2027,3,0.530292387972002,0.015930719941472875,0.5121465557075422,0.5419795757860218
sst2,direct,double,positive,layer_balanced,low,0.1,accuracy,3,3,1234;1337;2027,3,0.8176605504587156,0.00606823695198299,0.8107798165137615,0.8222477064220183
