task,route,estimator,score_type,balance,fraction,metric,comparison,mean_gap,gap_std,paired_seed_n,seeds,left_mask_n,high_mask_n,direction,ci_low,ci_high,paired_effect_size_dz
sst2,direct,double,positive,global,0.02,accuracy,random_minus_high,0.3241016819571865,0.007074938376909024,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.31594036697247724,0.3284977064220183,45.80982401415397
sst2,direct,double,positive,global,0.02,ece,low_minus_high,-0.1072108169227729,0.00561139823505448,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,-0.11368092756074855,-0.10367403092646121,-19.105900602995074
sst2,direct,double,positive,global,0.02,ece,random_minus_high,-0.10293584970221137,0.006217851887870377,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,-0.11001712916470334,-0.09836890934246494,-16.55488930236758
sst2,direct,double,positive,global,0.02,nll,low_minus_high,0.14228469799828092,0.025920676905336514,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.11235535062781166,0.157488360625068,5.489235428453935
sst2,direct,double,positive,global,0.02,nll,random_minus_high,0.16128628664744002,0.015008404150956148,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.14782894200414687,0.17747154934417209,10.746398153008485
sst2,direct,double,positive,global,0.05,accuracy,low_minus_high,0.32339449541284404,0.004134806508559619,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.319954128440367,0.3279816513761468,78.21272766775733
sst2,direct,double,positive,global,0.05,accuracy,random_minus_high,0.3232415902140673,0.006134070580494318,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.31616972477064215,0.3271215596330275,52.69609893990145
sst2,direct,double,positive,global,0.05,ece,low_minus_high,-0.10766784974603454,0.0053289982271942414,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,-0.1136775961261528,-0.10351823490807799,-20.204144410594502
sst2,direct,double,positive,global,0.05,ece,random_minus_high,-0.09725822246244405,0.0062555937758356165,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,-0.10406992224736016,-0.09177078350909913,-15.547400606180247
sst2,direct,double,positive,global,0.05,nll,low_minus_high,0.14214575547007247,0.025990807934363144,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.11213421739569496,0.1572042870753949,5.469077984379922
sst2,direct,double,positive,global,0.05,nll,random_minus_high,0.17935332027506035,0.013390151571591326,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.1673956960029559,0.19382080577245553,13.394420467620252
sst2,direct,double,positive,global,0.1,accuracy,low_minus_high,0.3237767584097859,0.0036864108413581786,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.3211009174311927,0.3279816513761468,87.82980854366664
sst2,direct,double,positive,global,0.1,accuracy,random_minus_high,0.3228593272171254,0.005429514027669823,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.31668577981651375,0.3268922018348625,59.463761502737384
sst2,direct,double,positive,global,0.1,ece,low_minus_high,-0.10772513288102466,0.005260186928451164,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,-0.1136729840800178,-0.10368496804560334,-20.47933549630408
sst2,direct,double,positive,global,0.1,ece,random_minus_high,-0.08884496055819141,0.005143264738317941,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,-0.09407576416133408,-0.0837939495068764,-17.274039949039715
sst2,direct,double,positive,global,0.1,nll,low_minus_high,0.14241437747254282,0.026044315075344396,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.11234342204321413,0.15778087998885626,5.468155989533528
sst2,direct,double,positive,global,0.1,nll,random_minus_high,0.2049709085226971,0.012245589579504031,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.19420586873631962,0.21829319560062999,16.738345442000252
sst2,direct,double,positive,global,0.2,accuracy,low_minus_high,0.3237767584097859,0.0036864108413581786,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.3211009174311927,0.3279816513761468,87.82980854366664
sst2,direct,double,positive,global,0.2,accuracy,random_minus_high,0.3224961773700307,0.00528218445241063,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.3176032110091744,0.3280963302752295,61.053562266810495
sst2,direct,double,positive,global,0.2,ece,low_minus_high,-0.10759465629457947,0.006358259188061638,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,-0.11492751297317061,-0.10361299851344641,-16.922030560912145
sst2,direct,double,positive,global,0.2,ece,random_minus_high,-0.06454784822915972,0.0048830839947533,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,-0.06855770419154598,-0.05910994767736508,-13.218664331499127
sst2,direct,double,positive,global,0.2,nll,low_minus_high,0.14238897532179084,0.026046710402944883,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.11231307152214398,0.1575324297839895,5.466677869067571
sst2,direct,double,positive,global,0.2,nll,random_minus_high,0.24913259280976532,0.008800062053977533,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.24203579887884474,0.2589792219939035,28.310322277461676
sst2,direct,double,positive,global,0.3,accuracy,low_minus_high,0.3237767584097859,0.0036864108413581786,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.3211009174311927,0.3279816513761468,87.82980854366664
sst2,direct,double,positive,global,0.3,accuracy,random_minus_high,0.31548165137614675,0.011031102731097139,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.3036697247706422,0.3255160550458716,28.59928504579971
sst2,direct,double,positive,global,0.3,ece,low_minus_high,-0.10815624617636282,0.005905705644641438,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,-0.1148735625805885,-0.10377994147114089,-18.31385657944174
sst2,direct,double,positive,global,0.3,ece,random_minus_high,-0.03420211736151015,0.007196471453748932,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,-0.039344544065263096,-0.025977959017683055,-4.7526232239402395
sst2,direct,double,positive,global,0.3,nll,low_minus_high,0.1423843777439463,0.026049269540695558,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.11230682533815362,0.15768786994825812,5.465964315103187
sst2,direct,double,positive,global,0.3,nll,random_minus_high,0.2645037824863323,0.008727528462558363,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.25442618148042523,0.2695775335124873,30.306836995269606
sst2,direct,double,positive,layer_balanced,0.0,accuracy,low_minus_high,0.0,0.0,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.0,0.0,
sst2,direct,double,positive,layer_balanced,0.0,accuracy,random_minus_high,7.401486830834377e-17,6.409875621278547e-17,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.0,1.1102230246251565e-16,1.1547005383792512
sst2,direct,double,positive,layer_balanced,0.0,ece,low_minus_high,0.0,0.0,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.0,0.0,
sst2,direct,double,positive,layer_balanced,0.0,ece,random_minus_high,4.625929269271485e-18,2.1198671035948337e-17,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,-1.3877787807814457e-17,2.7755575615628914e-17,0.2182178902359924
sst2,direct,double,positive,layer_balanced,0.0,nll,low_minus_high,0.0,0.0,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.0,0.0,
sst2,direct,double,positive,layer_balanced,0.0,nll,random_minus_high,-7.401486830834377e-17,6.409875621278547e-17,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,-1.1102230246251565e-16,0.0,-1.1547005383792512
sst2,direct,double,positive,layer_balanced,0.001,accuracy,low_minus_high,0.32224770642201833,0.00895670834392967,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.3119266055045871,0.3279816513761468,35.978363261143684
sst2,direct,double,positive,layer_balanced,0.001,accuracy,random_minus_high,0.3242545871559633,0.0065705605234348255,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.31685779816513776,0.32941513761467883,49.349608149786285
