double_score_sum,endpoint_data_cursor,endpoint_target_tokens,experiment_id,importance_finalized_step,integration_rule,phase,raw_score_sum,step,u_stat_negative_sum,u_stat_positive_sum,u_stat_sum,u_stat_unclipped_sum,clip_factor,data_cursor,double_half_microbatch_count,double_sampling_active,elapsed_seconds,gradient_norm,learning_rate,loss,max_memory_gib,target_tokens,tokens_per_second,tokens_seen
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,13.0,trapezoid,,0.00022690419296098573,14.0,-7.050175300356557e-07,0.00022595315121916662,0.0002252481508051322,0.0002252481508051322,1.0,14336.0,,False,20.3382585190011,0.623089075088501,0.0005996314757049222,7.898236628621817,54.13719177246094,2097152.0,103113.64653176806,29360128.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,14.0,trapezoid,,0.00019783269761790723,15.0,-1.950282349830521e-06,0.0001982717415862298,0.00019632148488265373,0.00019632148488265373,1.0,15360.0,,False,20.342069625001386,0.8387764096260071,0.0005995336118096579,7.848501577973366,54.13719177246094,2097152.0,103094.32809248175,31457280.0
,16384.0,2097152.0,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,16.0,trapezoid,trapezoid_endpoint,0.000572403972045438,16.0,-6.2574520715855015e-06,0.0005771430343150955,0.0005708855334513544,0.0005782527666240034,,,,,,,,,,,,
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,,trapezoid,,,17.0,,,,,0.9547142920540803,17408.0,,False,15.84621519599932,1.047432780265808,0.0005993033858222867,7.778871923685074,54.13719177246094,2097152.0,132344.03130720236,35651584.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,17.0,trapezoid,,0.0003961705690853051,18.0,-1.0222291434629303e-06,0.0003954814166750825,0.00039445921370259837,0.00041316989863204824,1.0,18432.0,,False,18.71802453499913,0.5539681911468506,0.0005991710325698647,7.732217375189066,54.13719177246094,2097152.0,112039.17358259288,37748736.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,18.0,trapezoid,,0.00015341698453512267,19.0,-7.439688709571395e-06,0.00015931747716464544,0.00015187779929518898,0.00015187779929518898,1.0,19456.0,,False,20.46954591299982,0.67318195104599,0.000599027192440263,7.66818093508482,54.13719177246094,2097152.0,102452.29713025234,39845888.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,19.0,trapezoid,,0.00022710360506937588,20.0,-7.249250056723218e-07,0.00022623306222362052,0.00022550815559539607,0.00022550815559539607,1.0,20480.0,,False,20.95574115099953,0.5464876890182495,0.0005988718709563222,7.6493542939424515,54.13719177246094,2097152.0,100075.29606749183,41943040.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,20.0,trapezoid,,0.00012785029549315262,21.0,-3.848795835841029e-06,0.0001302267905907593,0.0001263780111330176,0.0001263780111330176,1.0,21504.0,,False,20.39480992100107,0.5549924969673157,0.0005987050740817174,7.606171689927578,54.13719177246094,2097152.0,102827.72960980174,44040192.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,21.0,trapezoid,,0.00011604389679404368,22.0,-7.274572954727623e-06,0.00012189404885717351,0.00011461949176372961,0.00011461949176372961,1.0,22528.0,,False,20.88383670499934,0.5025448203086853,0.000598526808220729,7.616623353213072,54.13719177246094,2097152.0,100419.86200255851,46137344.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,22.0,trapezoid,,0.00012547960609543028,23.0,-4.5552061434624e-06,0.00012841785763983093,0.0001238626674331563,0.0001238626674331563,1.0,23552.0,,False,20.87753351199899,0.5849822163581848,0.0005983370802179973,7.5471754260361195,54.13719177246094,2097152.0,100450.18003657852,48234496.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,23.0,trapezoid,,0.00015000602308044841,24.0,-3.762063876749009e-07,0.00014877340239304688,0.0001483971994791079,0.0001483971994791079,1.0,24576.0,,False,20.57067276899943,0.41287970542907715,0.0005981358973582591,7.515070367604494,54.13719177246094,2097152.0,101948.63452207872,50331648.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,24.0,trapezoid,,8.129061529756629e-05,25.0,-1.327720014851856e-06,8.106817351378245e-05,7.974045996118548e-05,7.974045996118548e-05,1.0,25600.0,,False,19.40172491500016,0.3890525996685028,0.0005979232673660683,7.480698581784964,54.13719177246094,2097152.0,108091.00784531883,52428800.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,25.0,trapezoid,,7.432979641655351e-05,26.0,-1.273478392059466e-06,7.406145006745514e-05,7.278797789170136e-05,7.278797789170136e-05,1.0,26624.0,,False,21.263788076999845,0.4003036320209503,0.0005976991984054995,7.452138759195805,54.13719177246094,2097152.0,98625.51265117254,54525952.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,26.0,trapezoid,,8.196513463372586e-05,27.0,-7.493951140474091e-07,7.998478151778035e-05,7.923540029683559e-05,7.923540029683559e-05,1.0,27648.0,,False,20.970345065999936,0.38250210881233215,0.0005974636990798343,7.401375386863947,54.13719177246094,2097152.0,100005.60283579677,56623104.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,27.0,trapezoid,,5.859519153976413e-05,28.0,-1.7915527245421222e-06,5.875125757246239e-05,5.695971201081585e-05,5.695971201081585e-05,1.0,28672.0,,False,20.276093401000253,0.311738520860672,0.0005972167784312311,7.398143656551838,54.13719177246094,2097152.0,103429.78593186714,58720256.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,28.0,trapezoid,,3.935606645956659e-05,29.0,-1.8240885668803055e-06,3.965630441866603e-05,3.783221718615131e-05,3.783221718615131e-05,1.0,29696.0,,False,21.081572541999776,0.34820738434791565,0.0005969584459403775,7.385535839945078,54.13719177246094,2097152.0,99477.96806058692,60817408.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,29.0,trapezoid,,6.964948604172073e-05,30.0,-4.420269487909061e-07,6.863394201585206e-05,6.819192307435436e-05,6.819192307435436e-05,1.0,30720.0,,False,20.19607988500138,0.3891124725341797,0.0005966887115261268,7.354391653090715,54.13719177246094,2097152.0,103839.55757460881,62914560.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,30.0,trapezoid,,7.016595160820507e-05,31.0,-7.891001454495574e-07,6.95259738696869e-05,6.873687639011934e-05,6.873687639011934e-05,1.0,31744.0,,False,21.554429907999292,0.31886205077171326,0.0005964075855451174,7.364096350967884,54.13719177246094,2097152.0,97295.6375534527,65011712.0
,32768.0,2097152.0,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,32.0,trapezoid,trapezoid_endpoint,4.0648202058317785e-05,32.0,-1.8953836350443808e-06,4.123067584534942e-05,3.933529645669208e-05,3.933529645669208e-05,,,,,,,,,,,,
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,,trapezoid,,,33.0,,,,,1.0,33792.0,,False,16.034904940999695,0.3300861120223999,0.000595811202495894,7.283744875341654,54.13804626464844,2097152.0,130786.6811631534,69206016.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,33.0,trapezoid,,5.460406509474403e-05,34.0,-6.070740493773776e-07,5.36698170730853e-05,5.306274702960461e-05,5.306274702960461e-05,1.0,34816.0,,False,19.63271534999876,0.3267260193824768,0.0005954959683262169,7.246668484061956,54.13804626464844,2097152.0,106819.25360875424,71303168.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,34.0,trapezoid,,3.235810892770509e-05,35.0,-2.420102772310133e-06,3.337498488680969e-05,3.095488182692889e-05,3.095488182692889e-05,1.0,35840.0,,False,19.6618476120002,0.3120940625667572,0.0005951693883859747,7.256734151393175,54.13804626464844,2097152.0,106660.98331064507,73400320.0
