intervention,model_state,allocation,requested_ratio,seed_count,actual_ratio_mean,accuracy_drop_mean,nll_change_mean,ece_change_mean
pretrain_high,finetuned,layer_balanced,0.01,3,0.009999908714324782,0.08142201834862384,0.15222976796488516,0.12423783963911152
pretrain_high,finetuned,layer_balanced,0.05,3,0.04999995629941081,0.33562691131498473,0.17150999218316618,-0.09722702278701051
pretrain_high,finetuned,layer_balanced,0.1,3,0.0999999206915233,0.33562691131498473,0.17150999218316618,-0.09722702278701051
pretrain_high,finetuned,layer_balanced,0.2,3,0.19999993849546704,0.33562691131498473,0.17150999218316618,-0.09722702278701051
pretrain_high,unfinetuned,global,0.001,3,0.000999998964134182,-0.018348623853210955,-0.12303077244977334,-0.05054763736069995
pretrain_high,unfinetuned,global,0.005,3,0.0049999948206709095,-0.018348623853210955,0.3213933957826107,0.06005065664331749
pretrain_high,unfinetuned,global,0.01,3,0.009999997734043522,-0.018348623853210955,-0.38169503704123536,-0.22999800752423324
pretrain_high,unfinetuned,global,0.05,3,0.04999999676291931,-0.03211009174311924,-0.4215219906710703,-0.364218461530233
pretrain_high,unfinetuned,global,0.1,3,0.09999999352583862,0.0034403669724770714,-0.41980027496267897,-0.35592632295372545
pretrain_high,unfinetuned,global,0.2,3,0.19999999514437897,0.0,-0.41989159146580124,-0.3652171075511223
pretrain_high,unfinetuned,layer_balanced,0.001,3,0.0009999099444154402,0.0,-0.05589506057424276,-0.01919896046970959
pretrain_high,unfinetuned,layer_balanced,0.005,3,0.004999954357162391,-0.018348623853210955,0.02625157198774719,0.004737503257245035
pretrain_high,unfinetuned,layer_balanced,0.01,3,0.009999908714324782,0.0,-0.41969857959572315,-0.34389587046387254
pretrain_high,unfinetuned,layer_balanced,0.05,3,0.04999995629941081,0.0,-0.41989159146580124,-0.3652171075511223
pretrain_high,unfinetuned,layer_balanced,0.1,3,0.0999999206915233,0.0,-0.41989159146580124,-0.3652171075511223
pretrain_high,unfinetuned,layer_balanced,0.2,3,0.19999993849546704,0.0,-0.41989159146580124,-0.3652171075511223
pretrain_only,finetuned,global,0.001,3,0.00098195493690196,-0.0022935779816513437,0.0016132542117290871,-0.0012853183613786106
pretrain_only,finetuned,global,0.005,3,0.004462437109996519,-0.002293577981651381,0.029640917202019185,0.0032063434481903927
pretrain_only,finetuned,global,0.01,3,0.008548196721622802,-0.005351681957186531,0.038383166542111526,0.004210306474435969
pretrain_only,finetuned,global,0.05,3,0.03460559020526717,0.0007645259938838059,0.04802846972366356,0.009166850677424676
pretrain_only,finetuned,global,0.1,3,0.05767132497683114,0.0003822629969419215,0.037589495335150214,0.006355158121656841
pretrain_only,finetuned,global,0.2,3,0.09172549737097256,-0.0011467889908256905,0.03491463045096906,0.004572006255379069
pretrain_only,finetuned,layer_balanced,0.001,3,0.0009325112270590249,-0.00305810397553515,0.004205831693946764,-0.001595359070521311
pretrain_only,finetuned,layer_balanced,0.005,3,0.004389036305543125,-0.0026758409785932655,0.017300679687330844,0.0028417178774582017
pretrain_only,finetuned,layer_balanced,0.01,3,0.00850968625178169,-0.00305810397553515,0.027878592639523525,0.004560111063739307
pretrain_only,finetuned,layer_balanced,0.05,3,0.03836219266292788,-0.006880733944954105,0.04537238964429324,0.006899401674518764
pretrain_only,finetuned,layer_balanced,0.1,3,0.06854805903779115,-0.0034403669724770714,0.043085979941423526,0.003855822116393811
pretrain_only,finetuned,layer_balanced,0.2,3,0.11518826008812455,0.0007645259938838059,0.045123762767249276,0.010849337976749468
topk_intersection,finetuned,global,0.001,3,1.8044027232221783e-05,0.26643730886850153,1.2869837244898534,0.27510758268419977
topk_intersection,finetuned,global,0.005,3,0.00053755771067439,0.3172782874617738,1.604726797305845,0.366520411534155
topk_intersection,finetuned,global,0.01,3,0.0014518010124207217,0.3172782874617738,1.3308455299711373,0.36338007001585115
topk_intersection,finetuned,global,0.05,3,0.015394406557652148,0.3142201834862386,0.1475921370749809,0.18260561824274513
topk_intersection,finetuned,global,0.1,3,0.0423286685490075,0.20948012232415902,0.1704702392812898,0.009408060967846873
topk_intersection,finetuned,global,0.2,3,0.10827449777340643,0.33562691131498473,0.17150999218316618,-0.09722702278701051
topk_intersection,finetuned,layer_balanced,0.001,3,6.739871735641519e-05,3.700743415417188e-17,0.00016139051236141455,0.0009135449059941384
topk_intersection,finetuned,layer_balanced,0.005,3,0.0006109180516192655,0.3172782874617738,1.6255183548920016,0.3730587846112412
topk_intersection,finetuned,layer_balanced,0.01,3,0.001490222462543092,0.0867737003058104,0.15340739661765024,0.11971098607771015
topk_intersection,finetuned,layer_balanced,0.05,3,0.011637763636482917,0.33562691131498473,0.17150999218316618,-0.09722702278701051
topk_intersection,finetuned,layer_balanced,0.1,3,0.031451861653732156,0.33562691131498473,0.17150999218316618,-0.09722702278701051
topk_intersection,finetuned,layer_balanced,0.2,3,0.0848116784073425,0.33562691131498473,0.17150999218316618,-0.09722702278701051
