task,route,seed,mask_seed,mask_id,estimator,score_type,balance,mode,fraction,metric,value
sst2,direct,1234,1234,0,u_statistic,positive,global,low,0.02,nll,0.5458835959434509
sst2,direct,1234,1234,0,u_statistic,positive,global,low,0.02,ece,0.11188451638995184
sst2,direct,1234,1234,0,u_statistic,positive,global,low,0.05,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,positive,global,low,0.05,nll,0.5458810258349147
sst2,direct,1234,1234,0,u_statistic,positive,global,low,0.05,ece,0.11188700789135703
sst2,direct,1234,1234,0,u_statistic,positive,global,low,0.1,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,positive,global,low,0.1,nll,0.5458593713034183
sst2,direct,1234,1234,0,u_statistic,positive,global,low,0.1,ece,0.111901524356054
sst2,direct,1234,1234,0,u_statistic,positive,global,low,0.2,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,positive,global,low,0.2,nll,0.5459416769786712
sst2,direct,1234,1234,0,u_statistic,positive,global,low,0.2,ece,0.11191915680421244
sst2,direct,1234,1234,0,u_statistic,positive,global,low,0.3,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,positive,global,low,0.3,nll,0.545981460071485
sst2,direct,1234,1234,0,u_statistic,positive,global,low,0.3,ece,0.11191728987142963
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.0,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.0,nll,0.5458835959434509
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.0,ece,0.11188451638995184
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.001,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.001,nll,0.5456662033129176
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.001,ece,0.11176374115773641
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.005,accuracy,0.8188073394495413
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.005,nll,0.5434272126593721
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.005,ece,0.11159875920825435
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.01,accuracy,0.8188073394495413
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.01,nll,0.5415417690069304
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.01,ece,0.1119788126424692
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.02,accuracy,0.8211009174311926
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.02,nll,0.5378251222022082
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.02,ece,0.11015306196831987
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.05,accuracy,0.8211009174311926
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.05,nll,0.5342799261075641
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.05,ece,0.10963004902035434
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.1,accuracy,0.8153669724770642
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.1,nll,0.5299066793207728
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.1,ece,0.10783961813304566
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.2,accuracy,0.8084862385321101
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.2,nll,0.5287905633449554
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.2,ece,0.11157774033660517
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.3,accuracy,0.805045871559633
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.3,nll,0.5498688386394344
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,low,0.3,ece,0.11085831020117576
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.0,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.0,nll,0.5458835959434509
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.0,ece,0.11188451638995184
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.001,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.001,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.001,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.005,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.005,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.005,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.01,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.01,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.01,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.02,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.02,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.02,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.05,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.05,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.05,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.1,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.1,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.1,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.2,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.2,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.2,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.3,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.3,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,signed,global,high,0.3,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.0,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.0,nll,0.5458835959434509
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.0,ece,0.11188451638995184
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.001,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.001,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.001,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.005,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.005,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.005,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.01,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.01,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.01,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.02,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.02,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.02,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.05,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.05,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.05,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.1,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.1,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.1,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.2,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.2,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.2,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.3,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.3,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,high,0.3,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.0,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.0,nll,0.5458835959434509
