batch_size,median_wall_seconds,minimum_wall_seconds,maximum_wall_seconds,median_peak_memory_gib,median_formula_share,wall_ratio_to_b32
32,7.708283410227068,3.8283043186611394,8.417297306900764,18.767029762268066,0.16621323986770759,1.0
64,8.293361539602756,4.13891254403643,10.211904700337072,19.091965675354004,0.16576067173639694,1.0759025191781906
128,9.43442231500876,4.916331948251354,12.671183832800125,19.089341163635254,0.1393759288123382,1.2239329838977526
256,12.652425229027813,7.025920939828211,14.147655485997348,19.092514991760254,0.09957959726352492,1.6414063359737188
