method,mean_mse_rank,median_mse_rank,rank1_contexts,median_pearson,median_abs_signed_bias,median_between_rep_variance,geometric_mean_mse_ratio_to_raw,method_label
u_m32,3.0833333333333335,3.0,4,0.9252280634254874,2.487860402607791e-08,1.652414566295112e-12,0.9241195569309744,U-32
u_m16,3.3333333333333335,3.0,3,0.92518895708471,2.4903095840661587e-08,1.6540897282235567e-12,0.9242302627292444,U-16
u_m8,3.4166666666666665,3.5,5,0.9249663169305844,2.4929031928572032e-08,1.6570544736035871e-12,0.9242719187414673,U-8
u_m4,4.25,4.5,1,0.9237861072431897,2.4734193474720952e-08,1.6595839290383179e-12,0.9252338752657026,U-4
double,4.458333333333333,4.5,0,0.9236847114980848,2.5057473322221325e-08,1.6863819292157181e-12,0.9268876742995618,Double
u_m2,4.458333333333333,4.5,0,0.9236847114980848,2.5057473322221325e-08,1.6863819292157192e-12,0.9268876742995618,U-2
raw,5.0,7.0,8,0.9182100895371328,3.463351317714745e-08,1.6958185359321774e-12,1.0,Raw
