state_id,phase,rule,scope,group_count,absolute_bias,relative_l1_bias,mean_estimate_mse,spearman,topk_overlap,dominance_fraction,nonzero_reference_fraction,nonzero_spearman,relative_error_p50,relative_error_p90,relative_error_p95,relative_error_p99
step-000000,early,left,parameter,14067712,2.7625002042855726e-08,0.35739731185919027,2.464428831359747e-14,0.7470777997649325,0.8638954997682639,5.0775137758282416e-05,0.5426918037560052,0.7263328974102214,0.559154456356509,2.601609395246939,5.461164853088462,27.162358360324806
step-000000,early,left,layer,9,0.012009581719344964,0.41597104254681405,0.00023308305858449032,0.9833333333333333,1.0,0.1942593409007597,1.0,0.9833333333333333,0.42488926833628127,0.5605447801583784,0.5751609795246564,0.5868539390176789
step-000000,early,left,module,9,0.012009581719344966,0.4159710425468141,0.0005018683075038799,1.0,1.0,0.5381186365299402,1.0,1.0,0.4326941574758294,0.5340107130848123,0.5436236967800259,0.5513140837361966
step-000000,early,trapezoid,parameter,14067712,5.99697162322867e-09,0.07758557027843058,1.044297112970079e-15,0.9722673254763783,0.9738934240943096,5.806042412637256e-05,0.5426918037560052,0.9832221595923689,0.08234768147685428,0.44153406554612523,0.9173090487535582,4.711520762523965
step-000000,early,trapezoid,layer,9,0.0008565278284738424,0.02966720924232622,1.0778836197134083e-06,1.0,1.0,0.18463718329292797,1.0,1.0,0.028557530014936324,0.046364833582073044,0.04889351367344207,0.0509164577465373
step-000000,early,trapezoid,module,9,0.0008565278284738347,0.029667209242325954,1.8855206092597574e-06,1.0,1.0,0.5255906047912914,1.0,1.0,0.02998860555090292,0.04083447311366897,0.04254867490172537,0.04392003633217049
step-000000,early,simpson,parameter,14067712,3.049384093254585e-10,0.00394512795352793,3.1553466751443624e-18,0.9993560271776865,0.9985171726477354,5.983147975690911e-05,0.5426918037560052,0.9997820250162104,0.0024852224569059853,0.013865830680077044,0.028290282138456694,0.13977740441896963
step-000000,early,simpson,layer,9,0.00017039193296130935,0.0059017967196403395,5.085499515101057e-08,1.0,1.0,0.18286813215344583,1.0,1.0,0.006011730990891851,0.010043012859978356,0.011832424440274736,0.013263953704511843
step-000000,early,simpson,module,9,0.00017039193296130588,0.00590179671964022,1.0359523545353986e-07,1.0,1.0,0.5229877002972486,1.0,1.0,0.0064761812904580995,0.009045774926311598,0.011333805473441356,0.013164229911145168
step-000000,early,gauss_legendre,parameter,14067712,0.0,0.0,0.0,0.9999999999999999,1.0,5.971882802430143e-05,0.5426918037560052,1.0,0.0,0.0,0.0,0.0
step-000000,early,gauss_legendre,layer,9,0.0,0.0,0.0,1.0,1.0,0.18318298452560242,1.0,1.0,0.0,0.0,0.0,0.0
step-000000,early,gauss_legendre,module,9,0.0,0.0,0.0,1.0,1.0,0.523332379882602,1.0,1.0,0.0,0.0,0.0,0.0
step-000001,early,left,parameter,14067712,8.938802615754995e-09,0.2655616307772159,3.0635895444971894e-15,0.920506856968329,0.8985635198880843,0.00012610069192224712,0.5444016056058014,0.9412018174181891,0.21274830311362775,1.2594437140230201,2.586726142466592,9.604206435818694
step-000001,early,left,layer,9,0.0068675315545604285,0.4519373480498243,6.770344636893034e-05,1.0,1.0,0.24866448902315647,1.0,1.0,0.5545030131512045,0.9902562995475804,1.0309836628353062,1.063565553465487
