state_id,phase,update_batch_id,probe_batch_id,probe_sample_count,batches_independent,parameter_count,update_l2_norm,path_learning_rate,path_gradient_norm,path_clip_factor,path_configured_weight_decay,path_path_weight_decay,path_weight_decay_excluded,path_update_loss
step-000000,early,records:65536-65540,records:65540-65544,4,True,14067712,1.6456131547759685,0.0006,2.68241810798645,0.37279782157182995,0.1,0.0,True,11.037796020507812
step-000001,early,records:65544-65548,records:65548-65552,4,True,14067712,1.3501296068259148,0.0006,2.1018919944763184,0.47576161233133923,0.1,0.0,True,10.71253776550293
step-000002,early,records:65552-65556,records:65556-65560,4,True,14067712,1.2762508991574262,0.0005984607970175685,1.7974187135696411,0.5563530835065891,0.1,0.0,True,10.350290298461914
step-000003,early,records:65560-65564,records:65564-65568,4,True,14067712,1.2444610121198647,0.0005938589823757483,1.271409273147583,0.7865281735724358,0.1,0.0,True,10.487348556518555
step-000004,early,records:65568-65572,records:65572-65576,4,True,14067712,1.204169601752249,0.0005862417769200146,1.2759381532669067,0.7837364324463327,0.1,0.0,True,10.370889663696289
step-000006,early,records:65576-65580,records:65580-65584,4,True,14067712,1.1244893649651788,0.0005623039848433746,1.4285695552825928,0.7000004279117912,0.1,0.0,True,10.11949634552002
step-000008,middle,records:65584-65588,records:65588-65592,4,True,14067712,1.0569753731611093,0.0005276274368078372,1.2237305641174316,0.8171726784878764,0.1,0.0,True,9.934751510620117
step-000010,middle,records:65592-65596,records:65596-65600,4,True,14067712,0.9629461793655594,0.00048363179476429885,1.2802780866622925,0.7810796961520442,0.1,0.0,True,9.759992599487305
step-000012,middle,records:65600-65604,records:65604-65608,4,True,14067712,0.867401814328668,0.00043211824546729026,1.0615367889404297,0.9420295823836349,0.1,0.0,True,9.747869491577148
step-000014,middle,records:65608-65612,records:65612-65616,4,True,14067712,0.7379829074525944,0.0003751957596776161,1.547906756401062,0.646033328449128,0.1,0.0,True,9.75223159790039
step-000016,middle,records:65616-65620,records:65620-65624,4,True,14067712,0.6211873291120863,0.0003151947506516138,1.469636082649231,0.6804400976310131,0.1,0.0,True,9.444469451904297
step-000018,middle,records:65624-65628,records:65628-65632,4,True,14067712,0.5060473138124182,0.00025457166674862705,1.1574242115020752,0.8639867095189909,0.1,0.0,True,9.556843757629395
step-000020,middle,records:65632-65636,records:65636-65640,4,True,14067712,0.389126475292784,0.00019580842414655393,1.104655385017395,0.9052588782929573,0.1,0.0,True,9.373485565185547
step-000022,late,records:65640-65644,records:65644-65648,4,True,14067712,0.2794210239451228,0.00014131079690191134,1.218823790550232,0.8204624715161524,0.1,0.0,True,9.29890251159668
step-000024,late,records:65648-65652,records:65652-65656,4,True,14067712,0.1796245872074352,9.330992427729401e-05,2.0448224544525146,0.489039773982709,0.1,0.0,True,9.243189811706543
step-000026,late,records:65656-65660,records:65660-65664,4,True,14067712,0.10484670872416638,5.377096763781717e-05,1.5183658599853516,0.6586023617570576,0.1,0.0,True,8.948824882507324
step-000028,late,records:65664-65668,records:65668-65672,4,True,14067712,0.048170359759425734,2.431265651393082e-05,1.0864496231079102,0.920428391986551,0.1,0.0,True,9.393169403076172
step-000029,late,records:65672-65676,records:65676-65680,4,True,14067712,0.027075808856883554,1.3758223079985353e-05,1.2342684268951416,0.8101958763699945,0.1,0.0,True,9.278905868530273
step-000030,late,records:65680-65684,records:65684-65688,4,True,14067712,0.012102752791776668,6.141017624251654e-06,1.2035117149353027,0.8309010678410299,0.1,0.0,True,9.36756706237793
step-000031,late,records:65688-65692,records:65692-65696,4,True,14067712,0.0030584469212649006,1.5392029824314534e-06,1.0123682022094727,0.9877819256231056,0.1,0.0,True,9.723779678344727
